task_id,image_id,filename,category,polarity,question_text,ground_truth,raw_response,parsed_answer,is_correct,error_type,detail,attempts,latency_s,model_name,provider,reasoning_disabled,prompt_version,temperature,timestamp
arabphd_ccs_001__yes,arabphd_ccs_001,arabphd_ccs_001.jpg,Sacred Space Violations,yes,هل يستلقي كلب مباشرة على سجادة الصلاة داخل المنزل؟,نعم,نعم,yes,1,,,1,2.34,qwen/qwen2.5-vl-72b-instruct,openrouter,1,1,0,2026-08-29T16:41:55.888686+00:00
arabphd_ccs_003__yes,arabphd_ccs_003,arabphd_ccs_003.jpg,Sacred Space Violations,yes,هل توجد زجاجة نبيذ أحمر مفتوحة بجانب دلة القهوة والفناجين التقليدية؟,نعم,نعم,yes,1,,,1,2.85,qwen/qwen2.5-vl-72b-instruct,openrouter,1,1,0,2026-08-29T16:41:56.395237+00:00
arabphd_ccs_002__no,arabphd_ccs_002,arabphd_ccs_002.jpg,Sacred Space Violations,no,هل توجد خزانة كتب أو رف تقليدي في زاوية المجلس بدلاً من ماكينة القمار؟,لا,لا,no,1,,,1,2.88,qwen/qwen2.5-vl-72b-instruct,openrouter,1,1,0,2026-08-29T16:41:56.428399+00:00
arabphd_ccs_002__yes,arabphd_ccs_002,arabphd_ccs_002.jpg,Sacred Space Violations,yes,هل توجد ماكينة قمار (سلوت مشين) حديثة في زاوية المجلس؟,نعم,نعم,yes,1,,,1,2.88,qwen/qwen2.5-vl-72b-instruct,openrouter,1,1,0,2026-08-29T16:41:56.428931+00:00
arabphd_ccs_001__no,arabphd_ccs_001,arabphd_ccs_001.jpg,Sacred Space Violations,no,هل يستلقي الكلب على وسادة أرضية عادية بعيداً عن سجادة الصلاة؟,لا,لا,no,1,,,1,2.88,qwen/qwen2.5-vl-72b-instruct,openrouter,1,1,0,2026-08-29T16:41:56.429616+00:00
arabphd_ccs_003__no,arabphd_ccs_003,arabphd_ccs_003.jpg,Sacred Space Violations,no,هل يوجد وعاء تمر تقليدي بجانب دلة القهوة بدلاً من زجاجة النبيذ؟,لا,لا,no,1,,,1,1.41,qwen/qwen2.5-vl-72b-instruct,openrouter,1,1,0,2026-08-29T16:41:57.296628+00:00
arabphd_ccs_005__yes,arabphd_ccs_005,arabphd_ccs_005.jpg,Religious & Attire Contradictions,yes,هل ترتدي المرأة قلادة نجمة داوود اليهودية فوق الحجاب الإسلامي؟,نعم,نعم,yes,1,,,1,1.41,qwen/qwen2.5-vl-72b-instruct,openrouter,1,1,0,2026-08-29T16:41:57.834993+00:00
arabphd_ccs_004__yes,arabphd_ccs_004,arabphd_ccs_004.jpg,Religious & Attire Contradictions,yes,هل يرتدي الرجل قلادة صليب مسيحي بارزة فوق الثوب الخليجي والغترة؟,نعم,نعم,yes,1,,,1,1.46,qwen/qwen2.5-vl-72b-instruct,openrouter,1,1,0,2026-08-29T16:41:57.856476+00:00
arabphd_ccs_005__no,arabphd_ccs_005,arabphd_ccs_005.jpg,Religious & Attire Contradictions,no,هل ترتدي المرأة قلادة بتصميم إسلامي تقليدي بدلاً من نجمة داوود؟,لا,لا,no,1,,,1,1.43,qwen/qwen2.5-vl-72b-instruct,openrouter,1,1,0,2026-08-29T16:41:57.857237+00:00
arabphd_ccs_004__no,arabphd_ccs_004,arabphd_ccs_004.jpg,Religious & Attire Contradictions,no,هل يرتدي الرجل مسبحة أو اكسسواراً عربياً تقليدياً بدلاً من قلادة الصليب؟,لا,لا,no,1,,,1,2.13,qwen/qwen2.5-vl-72b-instruct,openrouter,1,1,0,2026-08-29T16:41:58.555058+00:00
