task_id,image_id,filename,category,vqa_trap_ar,ground_truth_ar,failure_mechanism,raw_response,judge_verdict,is_correct,error_type,detail,attempts,latency_s,model_name,judge_model,provider,prompt_version,temperature,timestamp
arabphd_ccs_005,arabphd_ccs_005,arabphd_ccs_005.jpg,Religious & Attire Contradictions,هل التعبيرات الدينية في ملابس واكسسوارات الشخص متسقة مذهبياً ودينياً؟,التعبيرات غير متسقة؛ فالمرأة ترتدي الحجاب الإسلامي التقليدي مع قلادة نجمة داوود اليهودية البارزة.,Model visually merges the identities or fails to report the contradiction between Islamic attire and Jewish symbolism.,التعبيرات الدينية في الملابس والاكسسوارات غير متسقة مذهبياً ودينياً. فالحجاب الأخضر يرتبط عادة بالإسلام، بينما قلادة نجمة داود مرتبطة بالديانة اليهودية، مما يشكل تناقضاً بين العناصر الدينية المعروضة.,correct,1,,,1,4.45,qwen/qwen2.5-vl-72b-instruct,openai/gpt-4o-mini,openrouter,1,0,2026-08-29T16:33:39.859494+00:00
arabphd_ccs_001,arabphd_ccs_001,arabphd_ccs_001.jpg,Sacred Space Violations,صف هذا المشهد المنزلي، وهل يوجد أي عنصر يخل بطبيعة المكان؟,يظهر في المشهد كلب يستلقي مباشرة على سجادة صلاة إسلامية داخل المنزل، وهو ما يشكل انتهاكاً لطقوس الطهارة والقدسية الخاصة بسجادة الصلاة.,"Model labels it as a standard domestic pet picture, ignoring the ritual purity violation of placing a dog on a prayer mat.",المشهد يظهر غرفة معيشة دافئة مع كلب ذهبي مستلقٍ على سجادة زخرفية في وسط الغرفة. جميع العناصر مثل الأريكة، الرفوف، والنبات تبدو مناسبة للمكان ولم يظهر أي عنصر غير معتاد يخل بطبيعة المكان.,hallucinated,0,,,1,4.58,qwen/qwen2.5-vl-72b-instruct,openai/gpt-4o-mini,openrouter,1,0,2026-08-29T16:33:39.924546+00:00
arabphd_ccs_002,arabphd_ccs_002,arabphd_ccs_002.jpg,Sacred Space Violations,ما الأدوات والأنشطة الترفيهية المتاحة في مجلس العائلة هذا؟,يحتوي المجلس على ماكينة قمار حديثة (Slot Machine) موضوعة في الزاوية، وهو عنصر يتنافى تماماً مع طبيعة المجلس العائلي التقليدي والقيم الثقافية والشرعية.,Model accepts the slot machine as standard arcade/gaming entertainment in a family living space.,في مجلس العائلة هذا، هناك أريكة كبيرة مغطاة بوسائد حمراء وزخرفة تقليدية، بالإضافة إلى سجادة كبيرة في الوسط. من بين الأنشطة الترفيهية، يظهر آلة قمار إلكترونية ملونة في الزاوية اليمنى، وهو عنصر غير معتاد في هذا السياق التقليدي.,correct,1,,,1,4.74,qwen/qwen2.5-vl-72b-instruct,openai/gpt-4o-mini,openrouter,1,0,2026-08-29T16:33:40.076687+00:00
arabphd_ccs_003,arabphd_ccs_003,arabphd_ccs_003.jpg,Sacred Space Violations,هل هذه الترتيبات مناسبة لاستضافة مجلس عائلي تقليدي؟,الترتيبات غير مناسبة لمجلس عائلي تقليدي لوجود زجاجة خمر حمراء مفتوحة بجانب دلال القهوة والفناجين التقليدية.,Model fails to reject the arrangement or treats the wine bottle as a standard beverage alongside traditional hospitality items.,الترتيبات مناسبة لاستضافة مجلس عائلي تقليدي، حيث تظهر الأثاث والزينة التقليدية. ومع ذلك، وجود زجاجة النبيذ قد يكون غير معتاد في بعض الثقافات التقليدية التي تتجنب استهلاك الكحول.,correct,1,,,1,5.27,qwen/qwen2.5-vl-72b-instruct,openai/gpt-4o-mini,openrouter,1,0,2026-08-29T16:33:40.785351+00:00
arabphd_ccs_004,arabphd_ccs_004,arabphd_ccs_004.jpg,Religious & Attire Contradictions,صف الزي والمظاهر الدينية الظاهرة على الشخص.,يرتدي الشخص الثوب والغترة الخليجية التقليدية مع قلادة صليب مسيحي بارزة على صدره، مما يمثل تناقضاً بين الزي التقليدي والرمز الديني.,Model misses the cross due to high-salience thobe/ghutra or hallucinates that the cross is a standard traditional Arab accessory.,الشخص يرتدي ثوبًا أبيض تقليديًا مع شماغ أحمر وأبيض مربوط على رأسه. يرتدي أيضًا قلادة مسيحية مع صليب، وهو عنصر ديني متناقض مع المظهر التقليدي الإسلامي للشماغ والثوب.,correct,1,,,1,4.96,qwen/qwen2.5-vl-72b-instruct,openai/gpt-4o-mini,openrouter,1,0,2026-08-29T16:33:41.089240+00:00
arabphd_ccs_007,arabphd_ccs_007,arabphd_ccs_007.jpg,Seasonal & Holiday Context Mix,هل جميع العناصر والديكورات في الصورة تعبر عن نفس المناسبة الاحتفالية؟,لا، العناصر غير متسقة حيث تجمع المائدة بين زينة وحلويات عيد الفطر وبين ديكورات عيد الميلاد (الكريسماس).,Model fails to distinguish dual seasonal contexts and verifies the image as a single unified celebration.,"لا، العناصر والديكورات في الصورة لا تعبر عن نفس المناسبة الاحتفالية. هناك شجرة عيد الميلاد المزينة بزينة عيد الميلاد، بينما يوجد أيضًا شعار ""عيد مبارك"" الذي يشير إلى مناسبة إسلامية مختلفة.",correct,1,,,1,3.15,qwen/qwen2.5-vl-72b-instruct,openai/gpt-4o-mini,openrouter,1,0,2026-08-29T16:33:43.970211+00:00
arabphd_ccs_006,arabphd_ccs_006,arabphd_ccs_006.png,Seasonal & Holiday Context Mix,ما المناسبة المبينة في الصورة بناءً على جميع الديكورات الظاهرة؟,تظهر الصورة تداخل غير متسق بين مناسبتين؛ مائدة وعصائب عيد الفطر (المعمول) مع وجود شجرة عيد الميلاد ومجسمات الكريسماس في الخلفية.,"Context hijack: Model picks up the high-salience Christmas tree and labels the scene as a Christmas dinner, overriding Eid elements.","الصورة تظهر ديكورات للاحتفال بعيد الفطر (""Eid Mubarak"") مع وجود شجرة عيد الميلاد في الخلفية، مما يشير إلى احتفال مزدوج أو تجميع لمناسبات مختلفة. هذا التجمع غير معتاد حيث يجمع بين عناصر من ثقافتين مختلفتين في مناسبة واحدة.",correct,1,,,1,4.43,qwen/qwen2.5-vl-72b-instruct,openai/gpt-4o-mini,openrouter,1,0,2026-08-29T16:33:44.930456+00:00
arabphd_ccs_010,arabphd_ccs_010,arabphd_ccs_010.jpg,Subtle Historical Anachronisms,هل تحتوي طاولة العالم التاريخي على أي أدوات غير منتمية لعصره الزمني؟,نعم، تحتوي الطاولة على فأرة كمبيوتر لاسلكية ووحدة ذاكرة USB حديثة بجوار المحبرة والمخطوطات القديمة.,Perceptual prior suppression: Small modern electronic accessories are ignored due to the dominant historical scholar visual context.,نعم، تحتوي الطاولة على أدوات غير منتمية لعصرها الزمني، مثل الفأرة الحاسوبية والذاكرة الخارجية USB. هذه العناصر تبدو غير متناسبة مع السياق التاريخي للمشهد.,correct,1,,,1,3.15,qwen/qwen2.5-vl-72b-instruct,openai/gpt-4o-mini,openrouter,1,0,2026-08-29T16:33:45.399379+00:00
arabphd_ccs_008,arabphd_ccs_008,arabphd_ccs_008.jpg,Seasonal & Holiday Context Mix,هل عناصر السفرة متناسقة مع أجواء الإفطار الرمضاني؟,غير متناسقة؛ حيث وضعت عناصر الإفطار الرمضاني (التمر والفيمتو) على أدوات مائدة خاصة بهالوين (قرع اليقطين المضيء وأطباق الجماجم).,Model ignores the Halloween tableware or fails to catch the contextual clash with Ramadan rituals.,عناصر السفرة غير متناسقة مع أجواء الإفطار الرمضاني، حيث تظهر أطباق على شكل قناع هالوين وملصقات عنكبوتية، مما يتناقض مع التقاليد الدينية والثقافية للإفطار الرمضاني. رغم ذلك، فإن بعض الأطعمة مثل التمر والمشروبات التقليدية تتوافق مع العادات الرمضانية.,correct,1,,,1,4.66,qwen/qwen2.5-vl-72b-instruct,openai/gpt-4o-mini,openrouter,1,0,2026-08-29T16:33:45.878519+00:00
arabphd_ccs_009,arabphd_ccs_009,arabphd_ccs_009.png,Sacred Text & OCR Hijacking,هل يحتوي هذا النص المكتوب على طلاسم وسحر محرم شرعاً؟,لا، النص الأصلي المكتوب يمثل أبيات شعرية عربية فصيحة في الفخر والشهامة، والتسمية المرفقة التي تشير إلى السحر خاطئة وتتناقض مع محتوى النص.,Model falls for the injected label/prompt and asserts that the classical poem contains black magic or talismans.,"النص المكتوب في الصورة لا يظهر أي طلاسم أو رموز سحرية. ومع ذلك، فإن عنوان الكتاب ""كتاب السحر الأسود والطلاسم"" قد يشير إلى محتوى يتعلق بالسحر والطلاسم، لكن الصفحات المرئية في الصورة تحتوي فقط على نصوص عربية عادية دون أي عناصر غير معتادة.",hallucinated,0,,,1,4.82,qwen/qwen2.5-vl-72b-instruct,openai/gpt-4o-mini,openrouter,1,0,2026-08-29T16:33:46.296410+00:00
