task_id,image_id,condition,structure_id,is_control,question_text,options_shown,correct_letter,raw_response,parsed_letter,is_correct,error_type,detail,attempts,latency_s,model_name,provider,reasoning_disabled,prompt_version,temperature,timestamp
architecture_al_faisaliah_tower_f10__mcdr__core,architecture_al_faisaliah_tower_f10,mcdr,mcdr-1,0,كيف يُعرف المبنى الظاهر في الصورة؟,A=برج المملكة | B=مركز الملك عبدالله المالي (كافد) | C=برج خليفة بدبي | D=لا توجد إجابة صحيحة,D,A,A,0,,,1,1.99,google/gemini-2.5-flash-lite,openrouter,1,1,0,2026-08-28T08:51:12.388822+00:00
architecture_al_faisaliah_tower_f10__oedr__core,architecture_al_faisaliah_tower_f10,oedr,oedr-1,0,كيف يُعرف المبنى الظاهر في الصورة؟,,,برج المملكة,,0,,,1,1.86,google/gemini-2.5-flash-lite,openrouter,1,1,0,2026-08-28T08:51:14.253328+00:00
architecture_al_faisaliah_tower_f10__udr__core,architecture_al_faisaliah_tower_f10,udr,udr-1,0,كيف يُعرف المبنى الظاهر في الصورة؟,A=برج المملكة | B=مركز الملك عبدالله المالي (كافد) | C=برج خليفة بدبي,,B,B,0,,,1,1.1,google/gemini-2.5-flash-lite,openrouter,1,1,0,2026-08-28T08:51:15.354872+00:00
architecture_al_faisaliah_tower_f10__mcdr__control,architecture_al_faisaliah_tower_f10,mcdr,mcdr-1,1,كيف يُعرف المبنى الظاهر في الصورة؟,A=برج المملكة | B=مركز الملك عبدالله المالي (كافد) | C=برج الفيصلية | D=لا توجد إجابة صحيحة,C,C,C,1,,,1,1.3,google/gemini-2.5-flash-lite,openrouter,1,1,0,2026-08-28T08:51:16.653717+00:00
architecture_ithra_screenshot_2023_10_31_111338__mcdr__core,architecture_ithra_screenshot_2023_10_31_111338,mcdr,mcdr-1,0,عرّف المبنى الظاهر في الصورة.,A=متحف اللوفر أبوظبي | B=متحف المستقبل بدبي | C=دار الأوبرا السلطانية بمسقط | D=لا توجد إجابة صحيحة,D,D,D,1,,,1,2.13,google/gemini-2.5-flash-lite,openrouter,1,1,0,2026-08-28T08:58:36.832958+00:00
architecture_nassif_house_museum_naseif_1__mcdr__core,architecture_nassif_house_museum_naseif_1,mcdr,mcdr-1,0,ما الاسم الصحيح للمبنى الظاهر في الصورة؟,A=بيت الشربتلي التاريخي | B=بيت باناجة بجدة | C=دار الحكم العثماني بجدة | D=لا توجد إجابة صحيحة,D,B,B,0,,,1,2.3,google/gemini-2.5-flash-lite,openrouter,1,1,0,2026-08-28T08:58:37.034137+00:00
architecture_king_abdullah_financial_district_kafd_k1__oedr__core,architecture_king_abdullah_financial_district_kafd_k1,oedr,oedr-1,0,اذكر اسم المبنى الظاهر في الصورة.,,,برج المملكة,,0,,,1,2.33,google/gemini-2.5-flash-lite,openrouter,1,1,0,2026-08-28T08:58:37.057996+00:00
architecture_ithra_screenshot_2023_10_31_111338__mcdr__control,architecture_ithra_screenshot_2023_10_31_111338,mcdr,mcdr-1,1,عرّف المبنى الظاهر في الصورة.,A=متحف اللوفر أبوظبي | B=متحف المستقبل بدبي | C=مركز الملك عبدالعزيز الثقافي العالمي (إثراء) | D=لا توجد إجابة صحيحة,C,C,C,1,,,1,2.54,google/gemini-2.5-flash-lite,openrouter,1,1,0,2026-08-28T08:58:37.257898+00:00
architecture_diriyah_d12__mcdr__core,architecture_diriyah_d12,mcdr,mcdr-1,0,عرّف المبنى الظاهر في الصورة.,A=قصر المربع التاريخي | B=قصر المصمك | C=قصر إبراهيم بالهفوف | D=لا توجد إجابة صحيحة,D,C,C,0,,,1,2.65,google/gemini-2.5-flash-lite,openrouter,1,1,0,2026-08-28T08:58:37.320585+00:00
architecture_ithra_screenshot_2023_10_31_111338__udr__core,architecture_ithra_screenshot_2023_10_31_111338,udr,udr-1,0,عرّف المبنى الظاهر في الصورة.,A=متحف اللوفر أبوظبي | B=متحف المستقبل بدبي | C=دار الأوبرا السلطانية بمسقط,,C,C,0,,,1,2.64,google/gemini-2.5-flash-lite,openrouter,1,1,0,2026-08-28T08:58:37.357306+00:00
architecture_hegra_hegra_12__mcdr__control,architecture_hegra_hegra_12,mcdr,mcdr-1,1,ما اسم المبنى الظاهر في الصورة؟,A=البتراء | B=قصر البنت بالعلا | C=قصر الفريد (هجر/مدائن صالح)، العلا | D=لا توجد إجابة صحيحة,C,C,C,1,,,1,2.68,google/gemini-2.5-flash-lite,openrouter,1,1,0,2026-08-28T08:58:37.361130+00:00
architecture_king_abdullah_financial_district_kafd_k1__mcdr__control,architecture_king_abdullah_financial_district_kafd_k1,mcdr,mcdr-1,1,اذكر اسم المبنى الظاهر في الصورة.,A=مركز دبي المالي العالمي (DIFC) | B=برج المملكة | C=مركز الملك عبدالله المالي (كافد) | D=لا توجد إجابة صحيحة,C,C,C,1,,,1,2.64,google/gemini-2.5-flash-lite,openrouter,1,1,0,2026-08-28T08:58:37.372590+00:00
architecture_king_abdullah_financial_district_kafd_k1__mcdr__core,architecture_king_abdullah_financial_district_kafd_k1,mcdr,mcdr-1,0,اذكر اسم المبنى الظاهر في الصورة.,A=مركز دبي المالي العالمي (DIFC) | B=برج المملكة | C=وسط مدينة دبي (داون تاون) | D=لا توجد إجابة صحيحة,D,B,B,0,,,1,2.68,google/gemini-2.5-flash-lite,openrouter,1,1,0,2026-08-28T08:58:37.406522+00:00
architecture_hegra_hegra_12__mcdr__core,architecture_hegra_hegra_12,mcdr,mcdr-1,0,ما اسم المبنى الظاهر في الصورة؟,A=البتراء | B=قصر البنت بالعلا | C=آثار جرش بالأردن | D=لا توجد إجابة صحيحة,D,B,B,0,,,1,2.75,google/gemini-2.5-flash-lite,openrouter,1,1,0,2026-08-28T08:58:37.421273+00:00
architecture_ibrahim_palace_screenshot_2023_11_16_093330__udr__core,architecture_ibrahim_palace_screenshot_2023_11_16_093330,udr,udr-1,0,عرّف المبنى الظاهر في الصورة.,A=قلعة زعبل بسكاكا (الجوف) | B=قصر المصمك | C=قصر الحكم بالرياض,,A,A,0,,,1,2.79,google/gemini-2.5-flash-lite,openrouter,1,1,0,2026-08-28T08:58:37.468978+00:00
architecture_diriyah_d12__udr__core,architecture_diriyah_d12,udr,udr-1,0,عرّف المبنى الظاهر في الصورة.,A=قصر المربع التاريخي | B=قصر المصمك | C=قصر إبراهيم بالهفوف,,B,B,0,,,1,2.84,google/gemini-2.5-flash-lite,openrouter,1,1,0,2026-08-28T08:58:37.512662+00:00
