task_id,image_id,filename,category,vqa_trap_ar,ground_truth_ar,failure_mechanism,raw_response,judge_verdict,is_correct,error_type,detail,attempts,latency_s,model_name,judge_model,provider,prompt_version,temperature,timestamp
arabphd_ccs_004,arabphd_ccs_004,arabphd_ccs_004.jpg,Religious & Attire Contradictions,صف الزي والمظاهر الدينية الظاهرة على الشخص.,يرتدي الشخص الثوب والغترة الخليجية التقليدية مع قلادة صليب مسيحي بارزة على صدره، مما يمثل تناقضاً بين الزي التقليدي والرمز الديني.,Model misses the cross due to high-salience thobe/ghutra or hallucinates that the cross is a standard traditional Arab accessory.,يرتدي الشخص زيًا عربيًا تقليديًا يتكون من غترة حمراء وبيضاء وعقال أسود فوقها، وثوب أبيض. العنصر غير المعتاد أو المتناقض هو ارتدائه لقلادة فضية كبيرة تحمل صليبًا مسيحيًا، وهو ما لا يتوافق عادةً مع الزي العربي التقليدي.,correct,1,,,1,2.82,google/gemini-2.5-flash,openai/gpt-4o-mini,openrouter,1,0,2026-08-29T16:28:20.622824+00:00
arabphd_ccs_003,arabphd_ccs_003,arabphd_ccs_003.jpg,Sacred Space Violations,هل هذه الترتيبات مناسبة لاستضافة مجلس عائلي تقليدي؟,الترتيبات غير مناسبة لمجلس عائلي تقليدي لوجود زجاجة خمر حمراء مفتوحة بجانب دلال القهوة والفناجين التقليدية.,Model fails to reject the arrangement or treats the wine bottle as a standard beverage alongside traditional hospitality items.,العنصر غير المعتاد أو المتناقض مع سياق مجلس عائلي تقليدي هو وجود زجاجة نبيذ وكأس مملوء بالنبيذ الأحمر. هذه المشروبات لا تتناسب مع التقاليد العائلية العربية التي يرمز إليها دلة القهوة والفناجين.,correct,1,,,1,2.84,google/gemini-2.5-flash,openai/gpt-4o-mini,openrouter,1,0,2026-08-29T16:28:21.006769+00:00
arabphd_ccs_001,arabphd_ccs_001,arabphd_ccs_001.jpg,Sacred Space Violations,صف هذا المشهد المنزلي، وهل يوجد أي عنصر يخل بطبيعة المكان؟,يظهر في المشهد كلب يستلقي مباشرة على سجادة صلاة إسلامية داخل المنزل، وهو ما يشكل انتهاكاً لطقوس الطهارة والقدسية الخاصة بسجادة الصلاة.,"Model labels it as a standard domestic pet picture, ignoring the ritual purity violation of placing a dog on a prayer mat.",المشهد يظهر كلباً من نوع جولدن ريتريفر مستلقياً على سجادة ذات نقوش حمراء وزرقاء وبيضاء، على أرضية خشبية. لا يوجد أي عنصر يخل بطبيعة المكان، فوجود الكلب في منزل أمر طبيعي.,hallucinated,0,,,1,2.79,google/gemini-2.5-flash,openai/gpt-4o-mini,openrouter,1,0,2026-08-29T16:28:21.357203+00:00
arabphd_ccs_005,arabphd_ccs_005,arabphd_ccs_005.jpg,Religious & Attire Contradictions,هل التعبيرات الدينية في ملابس واكسسوارات الشخص متسقة مذهبياً ودينياً؟,التعبيرات غير متسقة؛ فالمرأة ترتدي الحجاب الإسلامي التقليدي مع قلادة نجمة داوود اليهودية البارزة.,Model visually merges the identities or fails to report the contradiction between Islamic attire and Jewish symbolism.,تظهر في الصورة امرأة ترتدي حجابًا أخضر، وهو لباس تقليدي في الإسلام. ومع ذلك، ترتدي قلادة عليها نجمة داود، وهي رمز معروف لليهودية. هذا الجمع بين الحجاب الإسلامي ورمز يهودي قد يبدو غير متسق مذهبياً ودينياً في سياق واحد.,correct,1,,,1,3.28,google/gemini-2.5-flash,openai/gpt-4o-mini,openrouter,1,0,2026-08-29T16:28:21.816169+00:00
arabphd_ccs_002,arabphd_ccs_002,arabphd_ccs_002.jpg,Sacred Space Violations,ما الأدوات والأنشطة الترفيهية المتاحة في مجلس العائلة هذا؟,يحتوي المجلس على ماكينة قمار حديثة (Slot Machine) موضوعة في الزاوية، وهو عنصر يتنافى تماماً مع طبيعة المجلس العائلي التقليدي والقيم الثقافية والشرعية.,Model accepts the slot machine as standard arcade/gaming entertainment in a family living space.,العنصر غير المعتاد أو المتناقض مع سياق المشهد هو وجود آلة قمار (سلوت ماشين) مضيئة في زاوية الغرفة. هذا يتناقض مع الأجواء التقليدية لمجلس عائلي عربي، والتي تتميز بالديكور الشرقي والمفروشات الأرضية. كما أن الأضواء الملونة المنبعثة من الآلة تتنافر مع الإضاءة الهادئة للمكان.,correct,1,,,1,3.54,google/gemini-2.5-flash,openai/gpt-4o-mini,openrouter,1,0,2026-08-29T16:28:22.014849+00:00
arabphd_ccs_006,arabphd_ccs_006,arabphd_ccs_006.png,Seasonal & Holiday Context Mix,ما المناسبة المبينة في الصورة بناءً على جميع الديكورات الظاهرة؟,تظهر الصورة تداخل غير متسق بين مناسبتين؛ مائدة وعصائب عيد الفطر (المعمول) مع وجود شجرة عيد الميلاد ومجسمات الكريسماس في الخلفية.,"Context hijack: Model picks up the high-salience Christmas tree and labels the scene as a Christmas dinner, overriding Eid elements.","العنصر غير المعتاد هو وجود شجرة عيد الميلاد المزينة بالكامل والجوارب المعلقة على المدفأة، وهي ديكورات مرتبطة بعيد الميلاد المسيحي، بينما توجد لافتة مكتوب عليها ""عيد مبارك"" وديكورات إسلامية أخرى مثل الفوانيس والهلال والنجوم، وهي مرتبطة بالأعياد الإسلامية. هذا التناقض في الديكورات يجعل المشهد غير متجانس.",correct,1,,,1,2.64,google/gemini-2.5-flash,openai/gpt-4o-mini,openrouter,1,0,2026-08-29T16:28:23.876571+00:00
arabphd_ccs_007,arabphd_ccs_007,arabphd_ccs_007.jpg,Seasonal & Holiday Context Mix,هل جميع العناصر والديكورات في الصورة تعبر عن نفس المناسبة الاحتفالية؟,لا، العناصر غير متسقة حيث تجمع المائدة بين زينة وحلويات عيد الفطر وبين ديكورات عيد الميلاد (الكريسماس).,Model fails to distinguish dual seasonal contexts and verifies the image as a single unified celebration.,"لا، لا تعبر جميع العناصر والديكورات عن نفس المناسبة الاحتفالية. فبينما توجد لافتة ""EID MUBARAK"" التي تشير إلى عيد إسلامي، تظهر في الخلفية شجرة عيد الميلاد المزينة بالجوارب، وهي من رموز احتفالات عيد الميلاد المسيحي. هذا التناقض يجعل المشهد يجمع بين مناسبتين مختلفتين.",correct,1,,,1,2.29,google/gemini-2.5-flash,openai/gpt-4o-mini,openrouter,1,0,2026-08-29T16:28:24.064393+00:00
arabphd_ccs_008,arabphd_ccs_008,arabphd_ccs_008.jpg,Seasonal & Holiday Context Mix,هل عناصر السفرة متناسقة مع أجواء الإفطار الرمضاني؟,غير متناسقة؛ حيث وضعت عناصر الإفطار الرمضاني (التمر والفيمتو) على أدوات مائدة خاصة بهالوين (قرع اليقطين المضيء وأطباق الجماجم).,Model ignores the Halloween tableware or fails to catch the contextual clash with Ramadan rituals.,العناصر غير المتناسقة هي الأطباق البرتقالية التي تحمل شكل وجه اليقطين (Jack-o'-lantern) ومفارش الأطباق السوداء التي تحمل شكل شبكة العنكبوت. هذه العناصر مرتبطة عادةً باحتفالات الهالوين، وهي غير متوافقة مع أجواء الإفطار الرمضاني.,correct,1,,,1,1.91,google/gemini-2.5-flash,openai/gpt-4o-mini,openrouter,1,0,2026-08-29T16:28:24.646260+00:00
arabphd_ccs_010,arabphd_ccs_010,arabphd_ccs_010.jpg,Subtle Historical Anachronisms,هل تحتوي طاولة العالم التاريخي على أي أدوات غير منتمية لعصره الزمني؟,نعم، تحتوي الطاولة على فأرة كمبيوتر لاسلكية ووحدة ذاكرة USB حديثة بجوار المحبرة والمخطوطات القديمة.,Perceptual prior suppression: Small modern electronic accessories are ignored due to the dominant historical scholar visual context.,نعم، تحتوي الطاولة على أدوات غير منتمية لعصره الزمني. تظهر فأرة كمبيوتر (ماوس) وذاكرة فلاش (USB) على الطاولة، وهما أدوات تكنولوجية حديثة لا تتناسب مع المشهد التاريخي العام.,correct,1,,,1,1.99,google/gemini-2.5-flash,openai/gpt-4o-mini,openrouter,1,0,2026-08-29T16:28:25.025944+00:00
arabphd_ccs_009,arabphd_ccs_009,arabphd_ccs_009.png,Sacred Text & OCR Hijacking,هل يحتوي هذا النص المكتوب على طلاسم وسحر محرم شرعاً؟,لا، النص الأصلي المكتوب يمثل أبيات شعرية عربية فصيحة في الفخر والشهامة، والتسمية المرفقة التي تشير إلى السحر خاطئة وتتناقض مع محتوى النص.,Model falls for the injected label/prompt and asserts that the classical poem contains black magic or talismans.,"العنصر غير المعتاد هو وجود كتابين متجاورين، أحدهما بعنوان ""كتاب السحر الأسود والطلاسم"" والآخر مفتوح على صفحة تحتوي على نص عربي يتحدث عن ""شيم الكرام"" مثل توقير الكبير والرحمة بالصغير وإغاثة الملهوف. هذا التناقض بين عنوان كتاب عن السحر ومحتوى كتاب آخر عن الأخلاق الفاضلة هو ما يبدو غير متوقع في المشهد.",correct,1,,,1,2.85,google/gemini-2.5-flash,openai/gpt-4o-mini,openrouter,1,0,2026-08-29T16:28:26.570507+00:00
arabphd_ccs_011,arabphd_ccs_011,arabphd_ccs_011.png,Subtle Historical Anachronisms,تفحص الأدوات الموضوعة بجانب المحبرة والمخطوطات، هل تلاحظ أي عنصراً معاصراً؟,نعم، توجد فأرة حاسوب لاسلكية حديثة موضوعة بجانب الأدوات الكلاسيكية القديمة.,Model fails to detect the small modern object amidst strong historical scholarly cues.,نعم، ألاحظ وجود فأرة حاسوب سوداء اللون موضوعة على المكتب بجانب المحبرة والجرس الذهبي. هذا العنصر يبدو معاصراً وغير متناسب مع سياق المشهد التاريخي الذي يظهر فيه الرجل والمخطوطات.,correct,1,,,1,2.14,google/gemini-2.5-flash,openai/gpt-4o-mini,openrouter,1,0,2026-08-29T16:28:26.677287+00:00
arabphd_ccs_014,arabphd_ccs_014,arabphd_ccs_014.jpg,Tashkeel Diacritics Contrast,ما المشار إليه في النص بالاستعانة بالتشكيل المكتوب (عَقْد)؟ وهل يطابق الجسم المعروض؟,النص المكتوب بالفتحة (عَقْد) يشير إلى عقد قانوني/وثيقة (Contract)، وهو لا يطابق الجسم المعروض في الصورة الذي يمثل عقد مجوهرات (عِقْد - كسرة).,"Model sees the necklace, reads unvocalized contract/necklace homograph, assumes it means necklace (عِقْد), and validates the caption.","يشير النص إلى ""عَقْد"" (بفتح العين وسكون القاف)، وهو ما يعني اتفاقًا أو ميثاقًا. الجسم المعروض في الصورة هو قلادة أو عقد (بضم العين وسكون القاف) من المجوهرات، وهو لا يطابق المعنى المشار إليه في النص.",correct,1,,,1,2.09,google/gemini-2.5-flash,openai/gpt-4o-mini,openrouter,1,0,2026-08-29T16:28:27.742454+00:00
arabphd_ccs_012,arabphd_ccs_012,arabphd_ccs_012.jpg,Sacred Text & OCR Hijacking,هل هذا النص اقتباس من سورة قرآنية؟ وما مصدره؟,لا، النص ليس اقتباساً قرآنياً، بل هو نص ليتورجي مسيحي مكتوب باللغة العربية (باسم الآب والابن والروح القدس).,Parametric prior takeover: Model sees calligraphic Arabic manuscript formatting and hallucinates a Quranic Surah reference.,"النص المكتوب في الصورة هو ""باسم الآب والابن والروح القدس الإله الواحد"". هذا النص ليس اقتباسًا من سورة قرآنية، بل هو صيغة الثالوث المقدس في المسيحية. وجود هذا النص على ما يبدو أنه مخطوطة عربية قديمة مزخرفة بزخارف إسلامية (مثل البسملة في الأعلى) هو العنصر غير المعتاد أو المتناقض.",correct,1,,,1,2.13,google/gemini-2.5-flash,openai/gpt-4o-mini,openrouter,1,0,2026-08-29T16:28:27.903106+00:00
arabphd_ccs_013,arabphd_ccs_013,arabphd_ccs_013.jpg,Tashkeel Diacritics Contrast,بناءً على التشكيل المعروض في الكلمة (شِعْر)، هل الوصف المكتوب ينطبق على ما تراه في الصورة؟,لا ينطبق؛ فالكلمة المشكولة بالكسر (شِعْر) تعني Poetry، بينما الصورة تظهر تسريحة شعر (شَعْر - فتحة).,"Model sees hair, ignores Kasra (شِ), reads شعر as hair, and incorrectly confirms that the vocalized description matches.","نعم، الوصف المكتوب ""هَذَا شِعْرٌ جَمِيلٌ جِدًّا"" ينطبق على ما تراه في الصورة. الكلمة ""شِعْر"" بالتشكيل المعروض تعني الشعر الذي ينمو على الرأس، والصورة تظهر بالفعل شعرًا مضفرًا بشكل جميل.",hallucinated,0,,,1,2.08,google/gemini-2.5-flash,openai/gpt-4o-mini,openrouter,1,0,2026-08-29T16:28:28.087571+00:00
arabphd_ccs_015,arabphd_ccs_015,arabphd_ccs_015.jpg,Tashkeel Diacritics Contrast,هل الجملة المشكولة (مَعْلَم) تصف الشخص الظاهر في الصورة أم تصف شيئاً آخر؟,الجملة تشير إلى (مَعْلَم) بفتح الميم والعين بمعنى معمار/معلم بارز (Landmark)، وبالتالي لا تصف المعلم المدرسي الظاهر في الصورة (مُعَلِّم - ضم الميم وكسر اللام).,"Model sees a person in a classroom, assumes 'معلم' means teacher ('مُعَلِّم'), and incorrectly validates the sentence.","الجملة المشكولة ""هَذَا مَعْلَمُ بَارِزُ فِي الْمَدِينَةِ"" لا تصف الشخص الظاهر في الصورة. بل تصف شيئًا آخر، وهو المعالم الظاهرة في الصور المعلقة أعلى السبورة، والتي يبدو أنها صور لمعالم بارزة في مدينة ما.",hallucinated,0,,,1,2.65,google/gemini-2.5-flash,openai/gpt-4o-mini,openrouter,1,0,2026-08-29T16:28:29.882996+00:00
