task_id,image_id,filename,category,polarity,hitem_level,gt_ar,h_item_ar,question_text,ground_truth,raw_response,parsed_answer,is_correct,error_type,detail,attempts,latency_s,model_name,provider,reasoning_disabled,prompt_version,temperature,timestamp
image_102A;image_102B__yes,image_102A;image_102B,food_001(1).png,cuisine,yes,identity,صينية بطاطا,شية,هل هذا الطبق صينية بطاطا؟,نعم,لا,no,0,,,1,11.6,google/gemini-2.5-flash-lite,openrouter,1,1,0,2026-08-27T11:51:21.579686+00:00
image_102A;image_102B__no,image_102A;image_102B,food_001(1).png,cuisine,no,identity,صينية بطاطا,شية,هل هذا الطبق شية؟,لا,نعم,yes,0,,,1,10.74,google/gemini-2.5-flash-lite,openrouter,1,1,0,2026-08-27T11:51:32.318984+00:00
image_103A;image_103B__yes,image_103A;image_103B,food_001.png,cuisine,yes,identity,سمبوسة,كبة,هل هذا الطبق سمبوسة؟,نعم,نعم,yes,1,,,1,1.95,google/gemini-2.5-flash-lite,openrouter,1,1,0,2026-08-27T11:51:34.268481+00:00
image_103A;image_103B__no,image_103A;image_103B,food_001.png,cuisine,no,identity,سمبوسة,كبة,هل هذا الطبق كبة؟,لا,لا,no,1,,,1,16.79,google/gemini-2.5-flash-lite,openrouter,1,1,0,2026-08-27T11:51:51.061346+00:00
image_104A;image_104B__yes,image_104A;image_104B,food_002(1).png,cuisine,yes,identity,كشري,مجدرة,هل هذا الطبق كشري؟,نعم,نعم,yes,1,,,1,48.51,google/gemini-2.5-flash-lite,openrouter,1,1,0,2026-08-27T11:52:39.574149+00:00
image_112A;image_112B__no,image_112A;image_112B,food_006(1).png,cuisine,no,identity,سمبوسة,كبة,هل هذا الطبق كبة؟,لا,لا,no,1,,,1,1.67,google/gemini-2.5-flash-lite,openrouter,1,1,0,2026-08-27T11:55:55.175696+00:00
image_104A;image_104B__no,image_104A;image_104B,food_002(1).png,cuisine,no,identity,كشري,مجدرة,هل هذا الطبق مجدرة؟,لا,نعم,yes,0,,,1,1.8,google/gemini-2.5-flash-lite,openrouter,1,1,0,2026-08-27T11:55:55.299768+00:00
image_114A;image_114B__yes,image_114A;image_114B,food_007.jpg,cuisine,yes,identity,مكدوس,محشي,هل هذا الطعام مكدوس؟,نعم,نعم,yes,1,,,1,2.01,google/gemini-2.5-flash-lite,openrouter,1,1,0,2026-08-27T11:55:55.512098+00:00
image_110A;image_110B__yes,image_110A;image_110B,food_005.jpg,cuisine,yes,attribute,بسطيلة,مزيّنة بالسكر البودرة والقرفة,هل هذا الطبق مزيّن بالليمون والأعشاب؟,نعم,نعم,yes,1,,,1,2.22,google/gemini-2.5-flash-lite,openrouter,1,1,0,2026-08-27T11:55:55.722155+00:00
image_109A;image_109B__yes,image_109A;image_109B,food_004.png,cuisine,yes,identity,فلافل,كبة,هل هذه الكرات فلافل؟,نعم,نعم,yes,1,,,1,2.37,google/gemini-2.5-flash-lite,openrouter,1,1,0,2026-08-27T11:55:55.872597+00:00
image_107A;image_107B__no,image_107A;image_107B,food_003.png,cuisine,no,identity,بازين,هريس,هل هذا الطبق هريس؟,لا,لا,no,1,,,1,2.37,google/gemini-2.5-flash-lite,openrouter,1,1,0,2026-08-27T11:55:55.873193+00:00
image_109A;image_109B__no,image_109A;image_109B,food_004.png,cuisine,no,identity,فلافل,كبة,هل هذه الكرات كبة؟,لا,لا,no,1,,,1,2.56,google/gemini-2.5-flash-lite,openrouter,1,1,0,2026-08-27T11:55:56.061646+00:00
image_112A;image_112B__yes,image_112A;image_112B,food_006(1).png,cuisine,yes,identity,سمبوسة,كبة,هل هذا الطبق سمبوسة؟,نعم,نعم,yes,1,,,1,2.81,google/gemini-2.5-flash-lite,openrouter,1,1,0,2026-08-27T11:55:56.312551+00:00
image_115A;image_115B__yes,image_115A;image_115B,food_007.png,cuisine,yes,identity,خبز الصاج,تميس,هل هذا الخبز خبز الصاج؟,نعم,نعم,yes,1,,,1,2.88,google/gemini-2.5-flash-lite,openrouter,1,1,0,2026-08-27T11:55:56.393520+00:00
image_115A;image_115B__no,image_115A;image_115B,food_007.png,cuisine,no,identity,خبز الصاج,تميس,هل هذا الخبز تميس؟,لا,نعم,yes,0,,,1,2.9,google/gemini-2.5-flash-lite,openrouter,1,1,0,2026-08-27T11:55:56.407201+00:00
image_117A;image_117B__no,image_117A;image_117B,food_008.png,cuisine,no,identity,ورق عنب,كوسا محشي,هل هذا الطبق كوسا محشي؟,لا,لا,no,1,,,1,2.9,google/gemini-2.5-flash-lite,openrouter,1,1,0,2026-08-27T11:55:56.449801+00:00
image_116A;image_116B__yes,image_116A;image_116B,food_008.jpg,cuisine,yes,identity,ورق عنب,محشي,هل الطعام في هذه الصورة ورق عنب؟,نعم,نعم,yes,1,,,1,2.97,google/gemini-2.5-flash-lite,openrouter,1,1,0,2026-08-27T11:55:56.476428+00:00
image_113A;image_113B__no,image_113A;image_113B,food_006.png,cuisine,no,identity,بلاليط,كنافة,هل هذا الطبق كنافة؟,لا,لا,no,1,,,1,3.06,google/gemini-2.5-flash-lite,openrouter,1,1,0,2026-08-27T11:55:56.567673+00:00
image_111A;image_111B__yes,image_111A;image_111B,food_005.png,cuisine,yes,identity,ورق عنب,محشي,هل هذا الطبق ورق عنب؟,نعم,نعم,yes,1,,,1,3.1,google/gemini-2.5-flash-lite,openrouter,1,1,0,2026-08-27T11:55:56.605629+00:00
image_113A;image_113B__yes,image_113A;image_113B,food_006.png,cuisine,yes,identity,بلاليط,كنافة,هل هذا الطبق بلاليط؟,نعم,لا,no,0,,,1,3.27,google/gemini-2.5-flash-lite,openrouter,1,1,0,2026-08-27T11:55:56.771768+00:00
image_116A;image_116B__no,image_116A;image_116B,food_008.jpg,cuisine,no,identity,ورق عنب,محشي,هل الطعام في هذه الصورة محشي؟,لا,نعم,yes,0,,,1,3.36,google/gemini-2.5-flash-lite,openrouter,1,1,0,2026-08-27T11:55:56.880527+00:00
image_106A;image_106B__no,image_106A;image_106B,food_003.jpg,cuisine,no,identity,تبولة,فتوش,هل هذا الطبق فتوش؟,لا,لا,no,1,,,1,3.7,google/gemini-2.5-flash-lite,openrouter,1,1,0,2026-08-27T11:55:57.200060+00:00
image_111A;image_111B__no,image_111A;image_111B,food_005.png,cuisine,no,identity,ورق عنب,محشي,هل هذا الطبق محشي؟,لا,نعم,yes,0,,,1,4.19,google/gemini-2.5-flash-lite,openrouter,1,1,0,2026-08-27T11:55:57.698449+00:00
image_106A;image_106B__yes,image_106A;image_106B,food_003.jpg,cuisine,yes,identity,تبولة,فتوش,هل هذا الطبق تبولة؟,نعم,نعم,yes,1,,,1,4.48,google/gemini-2.5-flash-lite,openrouter,1,1,0,2026-08-27T11:55:57.978858+00:00
image_114A;image_114B__no,image_114A;image_114B,food_007.jpg,cuisine,no,identity,مكدوس,محشي,هل هذا الطعام محشي؟,لا,لا,no,1,,,1,4.8,google/gemini-2.5-flash-lite,openrouter,1,1,0,2026-08-27T11:55:58.306936+00:00
image_117A;image_117B__yes,image_117A;image_117B,food_008.png,cuisine,yes,identity,ورق عنب,كوسا محشي,هل هذا الطبق ورق عنب؟,نعم,نعم,yes,1,,,1,4.86,google/gemini-2.5-flash-lite,openrouter,1,1,0,2026-08-27T11:55:58.383170+00:00
image_118A;image_118B__no,image_118A;image_118B,food_009(1).png,cuisine,no,identity,مصوب,عصيدة,هل هذا الطبق عصيدة؟,لا,لا,no,1,,,1,7.98,google/gemini-2.5-flash-lite,openrouter,1,1,0,2026-08-27T11:56:01.548829+00:00
image_118A;image_118B__yes,image_118A;image_118B,food_009(1).png,cuisine,yes,identity,مصوب,عصيدة,هل هذا الطبق مصوب؟,نعم,نعم,yes,1,,,1,8.78,google/gemini-2.5-flash-lite,openrouter,1,1,0,2026-08-27T11:56:02.345300+00:00
image_110A;image_110B__no,image_110A;image_110B,food_005.jpg,cuisine,no,attribute,بسطيلة,مزيّنة بالسكر البودرة والقرفة,هل هذا الطبق مزيّن بالسكر البودرة والقرفة؟,لا,لا,no,1,,,1,9.61,google/gemini-2.5-flash-lite,openrouter,1,1,0,2026-08-27T11:56:03.112249+00:00
image_107A;image_107B__yes,image_107A;image_107B,food_003.png,cuisine,yes,identity,بازين,هريس,هل هذا الطبق بازين؟,نعم,لا,no,0,,,1,11.59,google/gemini-2.5-flash-lite,openrouter,1,1,0,2026-08-27T11:56:05.090191+00:00
