task_id,image_id,filename,category,polarity,question_text,ground_truth,raw_response,parsed_answer,is_correct,error_type,detail,attempts,latency_s,model_name,provider,reasoning_disabled,prompt_version,temperature,timestamp
arabphd_ccs_001__no,arabphd_ccs_001,arabphd_ccs_001.jpg,Sacred Space Violations,no,هل يستلقي الكلب على وسادة أرضية عادية بعيداً عن سجادة الصلاة؟,لا,لا,no,1,,,1,2.34,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-29T16:41:03.273422+00:00
arabphd_ccs_001__yes,arabphd_ccs_001,arabphd_ccs_001.jpg,Sacred Space Violations,yes,هل يستلقي كلب مباشرة على سجادة الصلاة داخل المنزل؟,نعم,نعم,yes,1,,,1,2.39,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-29T16:41:03.321605+00:00
arabphd_ccs_002__no,arabphd_ccs_002,arabphd_ccs_002.jpg,Sacred Space Violations,no,هل توجد خزانة كتب أو رف تقليدي في زاوية المجلس بدلاً من ماكينة القمار؟,لا,لا,no,1,,,1,2.53,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-29T16:41:03.457771+00:00
arabphd_ccs_003__yes,arabphd_ccs_003,arabphd_ccs_003.jpg,Sacred Space Violations,yes,هل توجد زجاجة نبيذ أحمر مفتوحة بجانب دلة القهوة والفناجين التقليدية؟,نعم,نعم,yes,1,,,1,2.57,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-29T16:41:03.500092+00:00
arabphd_ccs_002__yes,arabphd_ccs_002,arabphd_ccs_002.jpg,Sacred Space Violations,yes,هل توجد ماكينة قمار (سلوت مشين) حديثة في زاوية المجلس؟,نعم,نعم,yes,1,,,1,2.73,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-29T16:41:03.654337+00:00
arabphd_ccs_003__no,arabphd_ccs_003,arabphd_ccs_003.jpg,Sacred Space Violations,no,هل يوجد وعاء تمر تقليدي بجانب دلة القهوة بدلاً من زجاجة النبيذ؟,لا,لا,no,1,,,1,1.38,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-29T16:41:04.655091+00:00
arabphd_ccs_004__yes,arabphd_ccs_004,arabphd_ccs_004.jpg,Religious & Attire Contradictions,yes,هل يرتدي الرجل قلادة صليب مسيحي بارزة فوق الثوب الخليجي والغترة؟,نعم,نعم,yes,1,,,1,1.39,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-29T16:41:04.715841+00:00
arabphd_ccs_005__yes,arabphd_ccs_005,arabphd_ccs_005.jpg,Religious & Attire Contradictions,yes,هل ترتدي المرأة قلادة نجمة داوود اليهودية فوق الحجاب الإسلامي؟,نعم,نعم,yes,1,,,1,1.43,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-29T16:41:04.934956+00:00
arabphd_ccs_004__no,arabphd_ccs_004,arabphd_ccs_004.jpg,Religious & Attire Contradictions,no,هل يرتدي الرجل مسبحة أو اكسسواراً عربياً تقليدياً بدلاً من قلادة الصليب؟,لا,لا,no,1,,,1,1.51,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-29T16:41:04.969522+00:00
arabphd_ccs_005__no,arabphd_ccs_005,arabphd_ccs_005.jpg,Religious & Attire Contradictions,no,هل ترتدي المرأة قلادة بتصميم إسلامي تقليدي بدلاً من نجمة داوود؟,لا,لا,no,1,,,1,1.54,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-29T16:41:05.194557+00:00
arabphd_ccs_007__yes,arabphd_ccs_007,arabphd_ccs_007.jpg,Seasonal & Holiday Context Mix,yes,هل تظهر جوارب عيد الميلاد (كريسماس ستوكينغز) معلقة بجانب مائدة عيد الفطر العائلية؟,نعم,نعم,yes,1,,,1,1.86,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-29T16:41:06.791115+00:00
arabphd_ccs_006__no,arabphd_ccs_006,arabphd_ccs_006.png,Seasonal & Holiday Context Mix,no,هل تحتوي الخلفية على زخارف هلال وفانوس رمضاني بدلاً من شجرة الكريسماس؟,لا,لا,no,1,,,1,2.36,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-29T16:41:07.080008+00:00
arabphd_ccs_008__yes,arabphd_ccs_008,arabphd_ccs_008.jpg,Seasonal & Holiday Context Mix,yes,هل استخدمت أدوات مائدة هالوين (يقطين مضيء وأطباق جماجم) في تقديم وجبة الإفطار الرمضاني؟,نعم,نعم,yes,1,,,1,1.91,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-29T16:41:07.104151+00:00
