task_id,image_id,filename,category,polarity,hitem_level,gt_ar,h_item_ar,question_text,ground_truth,raw_response,parsed_answer,is_correct,error_type,detail,attempts,latency_s,model_name,provider,reasoning_disabled,prompt_version,temperature,timestamp
image_102A;image_102B__yes,image_102A;image_102B,food_001(1).png,cuisine,yes,identity,صينية بطاطا,شية,هل هذا الطبق صينية بطاطا؟,نعم,نعم,yes,1,,,1,1.99,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:44:34.293434+00:00
image_102A;image_102B__no,image_102A;image_102B,food_001(1).png,cuisine,no,identity,صينية بطاطا,شية,هل هذا الطبق شية؟,لا,لا,no,1,,,1,1.23,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:44:35.525256+00:00
image_103A;image_103B__yes,image_103A;image_103B,food_001.png,cuisine,yes,identity,سمبوسة,كبة,هل هذا الطبق سمبوسة؟,نعم,نعم,yes,1,,,1,1.18,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:44:36.703824+00:00
image_103A;image_103B__no,image_103A;image_103B,food_001.png,cuisine,no,identity,سمبوسة,كبة,هل هذا الطبق كبة؟,لا,لا,no,1,,,1,0.92,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:44:37.623487+00:00
image_104A;image_104B__yes,image_104A;image_104B,food_002(1).png,cuisine,yes,identity,كشري,مجدرة,هل هذا الطبق كشري؟,نعم,نعم,yes,1,,,1,0.82,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:44:38.526590+00:00
image_104A;image_104B__no,image_104A;image_104B,food_002(1).png,cuisine,no,identity,كشري,مجدرة,هل هذا الطبق مجدرة؟,لا,لا,no,1,,,1,0.85,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:44:39.561309+00:00
image_106A;image_106B__yes,image_106A;image_106B,food_003.jpg,cuisine,yes,identity,تبولة,فتوش,هل هذا الطبق تبولة؟,نعم,نعم,yes,1,,,1,2.24,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:44:41.955318+00:00
image_106A;image_106B__no,image_106A;image_106B,food_003.jpg,cuisine,no,identity,تبولة,فتوش,هل هذا الطبق فتوش؟,لا,لا,no,1,,,1,2.17,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:44:44.127703+00:00
image_107A;image_107B__yes,image_107A;image_107B,food_003.png,cuisine,yes,identity,بازين,هريس,هل هذا الطبق بازين؟,نعم,نعم,yes,1,,,1,1.57,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:44:45.693323+00:00
image_107A;image_107B__no,image_107A;image_107B,food_003.png,cuisine,no,identity,بازين,هريس,هل هذا الطبق هريس؟,لا,لا,no,1,,,1,3.65,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-26T21:44:49.348577+00:00
