task_id,image_id,filename,category,polarity,hitem_level,gt_ar,h_item_ar,question_text,ground_truth,raw_response,parsed_answer,is_correct,error_type,detail,attempts,latency_s,model_name,provider,reasoning_disabled,prompt_version,temperature,timestamp
image_102A;image_102B__yes,image_102A;image_102B,food_001(1).png,cuisine,yes,identity,صينية بطاطا,شية,هل هذا الطبق صينية بطاطا؟,نعم,نعم,yes,1,,,1,7.38,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-27T11:29:56.553432+00:00
image_102A;image_102B__no,image_102A;image_102B,food_001(1).png,cuisine,no,identity,صينية بطاطا,شية,هل هذا الطبق شية؟,لا,نعم,yes,0,,,1,7.0,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-27T11:30:03.551283+00:00
image_103A;image_103B__yes,image_103A;image_103B,food_001.png,cuisine,yes,identity,سمبوسة,كبة,هل هذا الطبق سمبوسة؟,نعم,نعم,yes,1,,,1,4.33,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-27T11:30:07.878453+00:00
image_103A;image_103B__no,image_103A;image_103B,food_001.png,cuisine,no,identity,سمبوسة,كبة,هل هذا الطبق كبة؟,لا,لا,no,1,,,1,11.16,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-27T11:30:19.039584+00:00
image_104A;image_104B__yes,image_104A;image_104B,food_002(1).png,cuisine,yes,identity,كشري,مجدرة,هل هذا الطبق كشري؟,نعم,نعم,yes,1,,,1,7.35,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-27T11:30:26.388924+00:00
image_104A;image_104B__no,image_104A;image_104B,food_002(1).png,cuisine,no,identity,كشري,مجدرة,هل هذا الطبق مجدرة؟,لا,لا,no,1,,,1,7.44,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-27T11:30:33.829859+00:00
image_106A;image_106B__yes,image_106A;image_106B,food_003.jpg,cuisine,yes,identity,تبولة,فتوش,هل هذا الطبق تبولة؟,نعم,نعم,yes,1,,,1,18.96,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-27T11:30:52.790216+00:00
image_106A;image_106B__no,image_106A;image_106B,food_003.jpg,cuisine,no,identity,تبولة,فتوش,هل هذا الطبق فتوش؟,لا,لا,no,1,,,1,36.74,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-27T11:31:29.529856+00:00
image_107A;image_107B__yes,image_107A;image_107B,food_003.png,cuisine,yes,identity,بازين,هريس,هل هذا الطبق بازين؟,نعم,نعم,yes,1,,,1,28.47,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-27T11:31:58.001182+00:00
image_107A;image_107B__no,image_107A;image_107B,food_003.png,cuisine,no,identity,بازين,هريس,هل هذا الطبق هريس؟,لا,نعم,yes,0,,,1,4.39,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-27T11:32:02.391703+00:00
image_109A;image_109B__yes,image_109A;image_109B,food_004.png,cuisine,yes,identity,فلافل,كبة,هل هذه الكرات فلافل؟,نعم,نعم,yes,1,,,1,1.64,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-27T11:32:04.030312+00:00
image_109A;image_109B__no,image_109A;image_109B,food_004.png,cuisine,no,identity,فلافل,كبة,هل هذه الكرات كبة؟,لا,نعم,yes,0,,,1,4.1,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-27T11:32:08.130739+00:00
image_110A;image_110B__yes,image_110A;image_110B,food_005.jpg,cuisine,yes,attribute,بسطيلة,مزيّنة بالسكر البودرة والقرفة,هل هذا الطبق مزيّن بالليمون والأعشاب؟,نعم,نعم,yes,1,,,1,4.28,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-27T11:32:12.412821+00:00
image_110A;image_110B__no,image_110A;image_110B,food_005.jpg,cuisine,no,attribute,بسطيلة,مزيّنة بالسكر البودرة والقرفة,هل هذا الطبق مزيّن بالسكر البودرة والقرفة؟,لا,لا,no,1,,,1,4.75,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-27T11:32:17.163457+00:00
image_111A;image_111B__yes,image_111A;image_111B,food_005.png,cuisine,yes,identity,ورق عنب,محشي,هل هذا الطبق ورق عنب؟,نعم,نعم,yes,1,,,1,13.2,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-27T11:32:30.363199+00:00
image_111A;image_111B__no,image_111A;image_111B,food_005.png,cuisine,no,identity,ورق عنب,محشي,هل هذا الطبق محشي؟,لا,نعم,yes,0,,,1,4.26,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-27T11:32:34.622612+00:00
image_112A;image_112B__yes,image_112A;image_112B,food_006(1).png,cuisine,yes,identity,سمبوسة,كبة,هل هذا الطبق سمبوسة؟,نعم,نعم,yes,1,,,1,1.55,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-27T11:32:36.175774+00:00
image_112A;image_112B__no,image_112A;image_112B,food_006(1).png,cuisine,no,identity,سمبوسة,كبة,هل هذا الطبق كبة؟,لا,لا,no,1,,,1,3.92,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-27T11:32:40.100464+00:00
image_113A;image_113B__yes,image_113A;image_113B,food_006.png,cuisine,yes,identity,بلاليط,كنافة,هل هذا الطبق بلاليط؟,نعم,نعم,yes,1,,,1,8.99,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-27T11:32:49.088279+00:00
image_113A;image_113B__no,image_113A;image_113B,food_006.png,cuisine,no,identity,بلاليط,كنافة,هل هذا الطبق كنافة؟,لا,لا,no,1,,,1,5.29,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-27T11:32:54.383074+00:00
image_114A;image_114B__yes,image_114A;image_114B,food_007.jpg,cuisine,yes,identity,مكدوس,محشي,هل هذا الطعام مكدوس؟,نعم,نعم,yes,1,,,1,4.17,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-27T11:32:58.557857+00:00
image_114A;image_114B__no,image_114A;image_114B,food_007.jpg,cuisine,no,identity,مكدوس,محشي,هل هذا الطعام محشي؟,لا,نعم,yes,0,,,1,4.33,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-27T11:33:02.884799+00:00
image_115A;image_115B__yes,image_115A;image_115B,food_007.png,cuisine,yes,identity,خبز الصاج,تميس,هل هذا الخبز خبز الصاج؟,نعم,نعم,yes,1,,,1,5.62,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-27T11:33:08.505925+00:00
image_115A;image_115B__no,image_115A;image_115B,food_007.png,cuisine,no,identity,خبز الصاج,تميس,هل هذا الخبز تميس؟,لا,نعم,yes,0,,,1,2.39,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-27T11:33:10.897913+00:00
image_116A;image_116B__yes,image_116A;image_116B,food_008.jpg,cuisine,yes,identity,ورق عنب,محشي,هل الطعام في هذه الصورة ورق عنب؟,نعم,نعم,yes,1,,,1,10.54,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-27T11:33:21.439734+00:00
image_116A;image_116B__no,image_116A;image_116B,food_008.jpg,cuisine,no,identity,ورق عنب,محشي,هل الطعام في هذه الصورة محشي؟,لا,نعم,yes,0,,,1,10.19,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-27T11:33:31.635345+00:00
image_117A;image_117B__yes,image_117A;image_117B,food_008.png,cuisine,yes,identity,ورق عنب,كوسا محشي,هل هذا الطبق ورق عنب؟,نعم,نعم,yes,1,,,1,6.44,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-27T11:33:38.072484+00:00
image_117A;image_117B__no,image_117A;image_117B,food_008.png,cuisine,no,identity,ورق عنب,كوسا محشي,هل هذا الطبق كوسا محشي؟,لا,لا,no,1,,,1,5.15,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-27T11:33:43.224607+00:00
image_118A;image_118B__yes,image_118A;image_118B,food_009(1).png,cuisine,yes,identity,مصوب,عصيدة,هل هذا الطبق مصوب؟,نعم,نعم,yes,1,,,1,1.95,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-27T11:33:45.171280+00:00
image_118A;image_118B__no,image_118A;image_118B,food_009(1).png,cuisine,no,identity,مصوب,عصيدة,هل هذا الطبق عصيدة؟,لا,نعم,yes,0,,,1,2.82,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-27T11:33:47.990238+00:00
image_119A;image_119B__yes,image_119A;image_119B,food_009.png,cuisine,yes,identity,كبة,سمبوسة,هل هذا الطبق كبة؟,نعم,نعم,yes,1,,,1,1.35,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-27T11:33:49.337875+00:00
image_119A;image_119B__no,image_119A;image_119B,food_009.png,cuisine,no,identity,كبة,سمبوسة,هل هذا الطبق سمبوسة؟,لا,لا,no,1,,,1,1.52,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-27T11:33:50.855113+00:00
image_121A;image_121B__yes,image_121A;image_121B,food_010.png,cuisine,yes,identity,كباب,شيش طاووق,هل هذا الطبق كباب؟,نعم,نعم,yes,1,,,1,3.63,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-27T11:33:54.481735+00:00
image_121A;image_121B__no,image_121A;image_121B,food_010.png,cuisine,no,identity,كباب,شيش طاووق,هل هذا الطبق شيش طاووق؟,لا,لا,no,1,,,1,1.49,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-27T11:33:55.974808+00:00
image_122A;image_122B__yes,image_122A;image_122B,food_011.jpg,cuisine,yes,identity,مناقيش,خبز الصاج,هل هذا الخبز مناقيش؟,نعم,نعم,yes,1,,,1,4.77,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-27T11:34:00.746250+00:00
image_122A;image_122B__no,image_122A;image_122B,food_011.jpg,cuisine,no,identity,مناقيش,خبز الصاج,هل هذا الخبز خبز الصاج؟,لا,نعم,yes,0,,,1,4.48,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-27T11:34:05.223621+00:00
image_123A;image_123B__yes,image_123A;image_123B,food_011.png,cuisine,yes,identity,عصيدة,بازين,هل هذا الطبق عصيدة؟,نعم,نعم,yes,1,,,1,5.19,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-27T11:34:10.413671+00:00
