task_id,image_id,filename,category,polarity,gt_ar,h_item_ar,context_ar,question_text,ground_truth,raw_response,parsed_answer,is_correct,error_type,detail,attempts,latency_s,model_name,provider,reasoning_disabled,prompt_version,temperature,timestamp
architecture_hegra_hegra_1__no,architecture_hegra_hegra_1,Hegra_hegra (1).png,architecture,no,قصر الفريد (هجر/مدائن صالح)، العلا,البتراء,صورة لواجهة أثرية نبطية منحوتة في الصخر، محصورة بعمق داخل جدران واد صخري ضيق، تُ,هل هذا المبنى البتراء؟,لا,لا,no,1,,,1,2.04,google/gemini-2.5-flash-lite,openrouter,1,1,0,2026-08-28T08:58:16.186192+00:00
architecture_diriyah_d__no,architecture_diriyah_d,Diriyah_d.png,architecture,no,حي الطريف بالدرعية,قصر المربع التاريخي,صورة لقصر المربع التاريخي بالرياض، أحد أشهر القصور الطينية التي شيدها الملك عبدا,هل هذا المبنى قصر المربع التاريخي؟,لا,نعم,yes,0,,,1,2.1,google/gemini-2.5-flash-lite,openrouter,1,1,0,2026-08-28T08:58:16.194511+00:00
architecture_diriyah_d__yes,architecture_diriyah_d,Diriyah_d.png,architecture,yes,حي الطريف بالدرعية,قصر المربع التاريخي,صورة لقصر المربع التاريخي بالرياض، أحد أشهر القصور الطينية التي شيدها الملك عبدا,هل هذا المبنى حي الطريف بالدرعية؟,نعم,لا,no,0,,,1,2.28,google/gemini-2.5-flash-lite,openrouter,1,1,0,2026-08-28T08:58:16.364777+00:00
architecture_ibrahim_palace_screenshot_2023_11_16_093255__yes,architecture_ibrahim_palace_screenshot_2023_11_16_093255,Ibrahim_Palace_Screenshot 2023-11-16 093255.png,architecture,yes,قصر إبراهيم بالهفوف,قلعة زعبل بسكاكا (الجوف),صورة ليلية لقلعة زعبل، منشأة عسكرية دفاعية بحتة تخلو من أي قباب أو مآذن، تتكون م,هل هذا المبنى قصر إبراهيم بالهفوف؟,نعم,لا,no,0,,,1,2.27,google/gemini-2.5-flash-lite,openrouter,1,1,0,2026-08-28T08:58:16.486721+00:00
architecture_diriyah_d10__yes,architecture_diriyah_d10,Diriyah_d10.png,architecture,yes,حي الطريف بالدرعية,قصر المربع التاريخي,صورة لواجهة قصر المربع التاريخي الطينية المسطحة، بفتحات نوافذ داكنة متكررة على ع,هل هذا المبنى حي الطريف بالدرعية؟,نعم,لا,no,0,,,1,2.41,google/gemini-2.5-flash-lite,openrouter,1,1,0,2026-08-28T08:58:16.526926+00:00
architecture_diriyah_d10__no,architecture_diriyah_d10,Diriyah_d10.png,architecture,no,حي الطريف بالدرعية,قصر المربع التاريخي,صورة لواجهة قصر المربع التاريخي الطينية المسطحة، بفتحات نوافذ داكنة متكررة على ع,هل هذا المبنى قصر المربع التاريخي؟,لا,نعم,yes,0,,,1,2.48,google/gemini-2.5-flash-lite,openrouter,1,1,0,2026-08-28T08:58:16.593935+00:00
architecture_diriyah_d11__no,architecture_diriyah_d11,Diriyah_d11.png,architecture,no,حي الطريف بالدرعية,قصر المربع التاريخي,صورة لجزء من أروقة قصر المربع التاريخي المقنطرة، بارز عن الجدار المحيط، ضمن مبنى,هل هذا المبنى قصر المربع التاريخي؟,لا,نعم,yes,0,,,1,2.53,google/gemini-2.5-flash-lite,openrouter,1,1,0,2026-08-28T08:58:16.642294+00:00
architecture_ithra_screenshot_2023_10_31_111009__no,architecture_ithra_screenshot_2023_10_31_111009,Ithra_Screenshot 2023-10-31 111009.png,architecture,no,مركز الملك عبدالعزيز الثقافي العالمي (إثراء),متحف اللوفر أبوظبي,صورة ليلية لمتحف اللوفر أبوظبي، بقبته الهندسية الضخمة المثقوبة بزخارف نجمية متشا,هل هذا المبنى متحف اللوفر أبوظبي؟,لا,لا,no,1,,,1,2.45,google/gemini-2.5-flash-lite,openrouter,1,1,0,2026-08-28T08:58:16.692307+00:00
architecture_diriyah_d1__no,architecture_diriyah_d1,Diriyah_d1.png,architecture,no,حي الطريف بالدرعية,قصر المربع التاريخي,صورة لقصر المربع التاريخي المرمم، بجدران مستقيمة نظيفة الحواف وأروقة مقنطرة منتظ,هل هذا المبنى قصر المربع التاريخي؟,لا,نعم,yes,0,,,1,2.64,google/gemini-2.5-flash-lite,openrouter,1,1,0,2026-08-28T08:58:16.751123+00:00
architecture_hegra_hegra_1__yes,architecture_hegra_hegra_1,Hegra_hegra (1).png,architecture,yes,قصر الفريد (هجر/مدائن صالح)، العلا,البتراء,صورة لواجهة أثرية نبطية منحوتة في الصخر، محصورة بعمق داخل جدران واد صخري ضيق، تُ,هل هذا المبنى قصر الفريد (هجر/مدائن صالح)، العلا؟,نعم,لا,no,0,,,1,2.63,google/gemini-2.5-flash-lite,openrouter,1,1,0,2026-08-28T08:58:16.772067+00:00
