task_id,image_id,filename,category,polarity,gt_ar,h_item_ar,context_ar,question_text,ground_truth,raw_response,parsed_answer,is_correct,error_type,detail,attempts,latency_s,model_name,provider,reasoning_disabled,prompt_version,temperature,timestamp
architecture_al_faisaliah_tower_f1__no,architecture_al_faisaliah_tower_f1,Al_Faisaliah_Tower_f1.png,architecture,no,برج الفيصلية,برج المملكة,صورة لبرج المملكة الزجاجي الأزرق الشاهق، ينتهي من الأعلى بفتحة مقوسة كبيرة على ش,هل هذا المبنى برج المملكة؟,لا,لا,no,1,,,1,1.45,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:10:07.801516+00:00
architecture_al_faisaliah_tower_f1__yes,architecture_al_faisaliah_tower_f1,Al_Faisaliah_Tower_f1.png,architecture,yes,برج الفيصلية,برج المملكة,صورة لبرج المملكة الزجاجي الأزرق الشاهق، ينتهي من الأعلى بفتحة مقوسة كبيرة على ش,هل هذا المبنى برج الفيصلية؟,نعم,لا,no,0,,,1,1.46,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:10:07.812801+00:00
architecture_diriyah_d1__yes,architecture_diriyah_d1,Diriyah_d1.png,architecture,yes,حي الطريف بالدرعية,قصر المربع التاريخي,صورة لقصر المربع التاريخي المرمم، بجدران مستقيمة نظيفة الحواف وأروقة مقنطرة منتظ,هل هذا المبنى حي الطريف بالدرعية؟,نعم,لا,no,0,,,1,2.29,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:10:08.638907+00:00
architecture_diriyah_d__no,architecture_diriyah_d,Diriyah_d.png,architecture,no,حي الطريف بالدرعية,قصر المربع التاريخي,صورة لقصر المربع التاريخي بالرياض، أحد أشهر القصور الطينية التي شيدها الملك عبدا,هل هذا المبنى قصر المربع التاريخي؟,لا,نعم,yes,0,,,1,2.63,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:10:08.982545+00:00
architecture_al_masmak_palace_masmak_1__yes,architecture_al_masmak_palace_masmak_1,Al_Masmak_Palace_masmak (1).png,architecture,yes,قصر المصمك,قصر المربع التاريخي,صورة لقصر المربع التاريخي بالرياض، أحد أشهر القصور الطينية التي شيدها الملك عبدا,هل هذا المبنى قصر المصمك؟,نعم,لا,no,0,,,1,2.74,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:10:09.089674+00:00
architecture_al_masmak_palace_masmak_12__yes,architecture_al_masmak_palace_masmak_12,Al_Masmak_Palace_masmak (12).png,architecture,yes,قصر المصمك,قصر المربع التاريخي,صورة واسعة لقصر المربع التاريخي بالكامل من الخارج، تُظهر أروقته المقنطرة المحيطة,هل هذا المبنى قصر المصمك؟,نعم,لا,no,0,,,1,3.02,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:10:09.372192+00:00
architecture_ibrahim_palace_screenshot_2023_11_16_093153__yes,architecture_ibrahim_palace_screenshot_2023_11_16_093153,Ibrahim_Palace_Screenshot 2023-11-16 093153.png,architecture,yes,قصر إبراهيم بالهفوف,قلعة زعبل بسكاكا (الجوف),صورة ليلية لبرج طيني مخروطي من أبراج قلعة زعبل الأربعة، يعلو قمة جبل صخري شاهق ف,هل هذا المبنى قصر إبراهيم بالهفوف؟,نعم,لا,no,0,,,1,1.83,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:10:09.629807+00:00
architecture_ibrahim_palace_screenshot_2023_11_16_093223__yes,architecture_ibrahim_palace_screenshot_2023_11_16_093223,Ibrahim_Palace_Screenshot 2023-11-16 093223.png,architecture,yes,قصر إبراهيم بالهفوف,قلعة زعبل بسكاكا (الجوف),صورة نهارية لبرجين من أبراج قلعة زعبل الأربعة المخروطية الشكل بشرفات مسننة، على ,هل هذا المبنى قصر إبراهيم بالهفوف؟,نعم,لا,no,0,,,1,1.04,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:10:09.682627+00:00
architecture_hegra_hegra_1__yes,architecture_hegra_hegra_1,Hegra_hegra (1).png,architecture,yes,قصر الفريد (هجر/مدائن صالح)، العلا,البتراء,صورة لواجهة أثرية نبطية منحوتة في الصخر، محصورة بعمق داخل جدران واد صخري ضيق، تُ,هل هذا المبنى قصر الفريد (هجر/مدائن صالح)، العلا؟,نعم,لا,no,0,,,1,3.46,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:10:09.814371+00:00
architecture_diriyah_d10__no,architecture_diriyah_d10,Diriyah_d10.png,architecture,no,حي الطريف بالدرعية,قصر المربع التاريخي,صورة لواجهة قصر المربع التاريخي الطينية المسطحة، بفتحات نوافذ داكنة متكررة على ع,هل هذا المبنى قصر المربع التاريخي؟,لا,نعم,yes,0,,,1,3.59,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:10:09.939011+00:00
architecture_hegra_hegra_1__no,architecture_hegra_hegra_1,Hegra_hegra (1).png,architecture,no,قصر الفريد (هجر/مدائن صالح)، العلا,البتراء,صورة لواجهة أثرية نبطية منحوتة في الصخر، محصورة بعمق داخل جدران واد صخري ضيق، تُ,هل هذا المبنى البتراء؟,لا,لا,no,1,,,1,3.62,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:10:09.966179+00:00
