image_id,filename,local_path,sha256,category,ground_truth_subject,subject,country,,source,source_dataset,matched_by,hitem,hitem_clip_score,gt_status,source_folder,caption_base
image_102A;image_102B,food_001(1).png,"Mahyoub(200""CAMAL, wikimedia"")/food_001(1).png",3c494d553efcecc6b3a886403f1c2cf59a2a77803fcfc70b966731da3a16903f,cuisine,siniat batatan,,Jordan,,https://huggingface.co/datasets/UBC-NLP/PEARL,PEARL,sha256,,,manual_done,mixed200,صينية بطاطا معدنية مستديرة تحمل قطع دجاج بنية داكنة اللون بجلد محمّر، موزعة بين شرائح بطاطا دائرية مطهوة في مرق بني لامع. تستقر الصينية فوق قماش مربعات بألوان بيج وبرتقالي فاتحة.
image_103A;image_103B,food_001.png,"Mahyoub(200""CAMAL, wikimedia"")/food_001.png",4baa541aeb2f1f8127ab4e306268192cfc3637046fd9b311d756fb1ef5160c1c,cuisine,sambusa,,,,https://huggingface.co/datasets/ahmedheakl/arabic_foodvqa,CAMAL_arabic_foodvqa,sha256,,,manual_done,mixed200,أقراص سمبوسة مثلثة الشكل بقشرة ذهبية محمّرة مقرمشة، مكدّسة فوق طبق رمادي مزخرف. بجانبها وعاءان صغيران: أحدهما بصلصة خضراء والآخر بصلصة حمراء.
image_104A;image_104B,food_002(1).png,"Mahyoub(200""CAMAL, wikimedia"")/food_002(1).png",26799b7c5050dd16fe1466ebd80a6d5369424ac8811501c44723ab1f64c44a3d,cuisine,koshari,,,,https://huggingface.co/datasets/ahmedheakl/arabic_foodvqa,CAMAL_arabic_foodvqa,sha256,,,ai_suggested,mixed200,كومة صغيرة من كشري تجمع أرزًا وعدسًا في القاعدة، تعلوها معكرونة كوع صفراء، ودفعة من صلصة الطماطم الحمراء في الأعلى، ورشة من البصل المقرمش الذهبي فوقها. يستقر الطبق الأبيض فوق خلفية داكنة.
image_105A;image_105B,food_002.png,"Mahyoub(200""CAMAL, wikimedia"")/food_002.png",9e9933a9b3a4d0d3a19b34fd3b39dea0a37f3729fead16ba4e3d372962b16a8c,cuisine,Oqot,,Saudi_Arabia,,https://huggingface.co/datasets/UBC-NLP/PEARL,PEARL,sha256,,,manual_done,mixed200,كرة عجين واحدة بلون أصفر فاتح مستديرة الشكل، بسطح خشن قليلًا يشبه قوام عقوت، موضوعة فوق طبق أبيض مزخرف بأزهار زرقاء ووردية وحافة ذهبية. يستقر الطبق فوق سطح أبيض تظهر عليه خدوش رفيعة.
image_106A;image_106B,food_003.jpg,"Mahyoub(200""CAMAL, wikimedia"")/food_003.jpg",d48f811f898bf9cfb7c62d7184cf97f28be923ef1501e3377b86c1f2f89d87c5,cuisine,tabbouleh,,,,https://huggingface.co/datasets/ahmedheakl/arabic_foodvqa,CAMAL_arabic_foodvqa,sha256,,,ai_suggested,mixed200,طبق تبولة يتوسطه تجمع من الطماطم المفرومة الحمراء وبتلات زهور صفراء متناثرة فوق خليط أخضر داكن من الأعشاب المفرومة ناعمًا، محاط بأوراق ملفوف أرجوانية تبطّن حواف الوعاء الفيروزي. حول الطبق تنتشر مكونات منفصلة: ليمونة وطماطم وبصل أخضر طويل الأوراق فوق قماش بنّي، ووعاء بمسحوق بني وآخر بحبيبات ذهبية وثالث بملح أبيض، على سطح أسود.
image_107A;image_107B,food_003.png,"Mahyoub(200""CAMAL, wikimedia"")/food_003.png",045b24c05ba49ee1251c98c9d978289330bded72d9190a02ecf3550c169ab237,cuisine,Bazin,,Tunisia,,https://huggingface.co/datasets/UBC-NLP/PEARL,PEARL,sha256,,,manual_done,mixed200,بازين، كتلة عجين بيضاء مستديرة تتوسط طبقًا داكن اللون، مغطاة بصلصة بنية برتقالية سميكة تنساب على جوانبها. تتوسط الكتلة حبة داكنة صغيرة، ويظهر شريط أخضر رفيع عند حافة الصلصة.
image_108A;image_108B,food_004(1).png,"Mahyoub(200""CAMAL, wikimedia"")/food_004(1).png",6390d465438105107d7167a4e59bc83b35480aa0b052bccf4d86344ce6b8db4b,cuisine,Zigni,,Sudan,,https://huggingface.co/datasets/UBC-NLP/PEARL,PEARL,sha256,,,manual_done,mixed200,يخنة لحم داكنة اللون بصلصة طماطم حمراء كثيفة، تُقدَّم مع خبز إسفنجي رمادي مائل للبيج ملفوف جزئيًا وممزّق. تظهر أرغفة إضافية مكوّرة إلى جانب الطبق، فوق سطح أبيض بسيط.
image_109A;image_109B,food_004.png,"Mahyoub(200""CAMAL, wikimedia"")/food_004.png",eaa4270d6547d642d73ab2e9289f8a6f44128794134ac764127968b4b3121c1f,cuisine,falafel,,,,https://huggingface.co/datasets/ahmedheakl/arabic_foodvqa,CAMAL_arabic_foodvqa,sha256,,,manual_done,mixed200,يد تحرك مصفاة سلكية مقعّرة داخل حوض كبير من الزيت الساخن أثناء القلي، وتظهر فقاعات كثيفة على سطح الزيت. بجانب الحوض صينية معدنية مثقّبة تحمل كرات فلافل ذهبية اللون جاهزة، أمام خلفية من الحائط المبلّط.
image_110A;image_110B,food_005.jpg,"Mahyoub(200""CAMAL, wikimedia"")/food_005.jpg",2f10e4c13c62416b51a31e2fef0c3939bcff00d9cc2d8aea577632b93a7a0fd9,cuisine,pastilla,,,,https://huggingface.co/datasets/ahmedheakl/arabic_foodvqa,CAMAL_arabic_foodvqa,sha256,,,ai_suggested,mixed200,بسطيلة مقطوعة تكشف حشوة داخلية من الأرز المفروم بقوام خشن، مختلطة بقطع مأكولات بحرية بيضاء. تعلو القطعة الكاملة حبات جمبري مشوية كاملة، وتحيط بالطبق شرائح ليمون أخضر دائرية. يستقر الطبق فوق صحن مزخرف بنقش مغربي ملون وحافة مربعات سوداء وبيضاء.
image_111A;image_111B,food_005.png,"Mahyoub(200""CAMAL, wikimedia"")/food_005.png",263fdb4caef924a8e97027b092f93a838d27e0e01d17b5743a5bbd8f0eb59b6b,cuisine,dolma,,Jordan,,https://huggingface.co/datasets/UBC-NLP/PEARL,PEARL,sha256,,,ai_suggested,mixed200,لفافات ورق عنب مصفوفة في صفوف متوازية متلاصقة فوق طبق بيضاوي أبيض بحافة ذهبية منقوشة بنقش مربعات صغيرة وزهور وردية مرسومة. يستقر الطبق على مفرش قماشي بنقشة زهور مطابقة، ويظهر في الخلفية العلوية جزء من طبق آخر يحمل قطعًا مقلية على حامل معدني صغير.
image_112A;image_112B,food_006(1).png,"Mahyoub(200""CAMAL, wikimedia"")/food_006(1).png",4faea3ee69c2aef3917641ffe56361fece294469d9e54e314d89246e61cd69b5,cuisine,sambousek,,,,https://huggingface.co/datasets/ahmedheakl/arabic_foodvqa,CAMAL_arabic_foodvqa,sha256,,,ai_suggested,mixed200,سمبوسة نصف دائرية الشكل بحواف مضفّرة مقرمشة وقشرة ذهبية محمّصة، مصفوفة في صف متراكب. تحيط بها أوراق خس، ويظهر وعاء أبيض في الزاوية العلوية اليسرى، فوق سطح خشبي داكن.
image_113A;image_113B,food_006.png,"Mahyoub(200""CAMAL, wikimedia"")/food_006.png",1a6a713e7ab21b23f1294ae14c8482ec80fe5321a79f4810fc40a5c059f893ef,cuisine,balaleet,,Qatar,,https://huggingface.co/datasets/UBC-NLP/PEARL,PEARL,sha256,,,ai_suggested,mixed200,طبق بلاليط يجمع شعيرية رفيعة ذهبية اللون مع قطعة عجة بيضاء مطوية بحواف محمّرة إلى جانبها. يستقر الطبق ذو الحافة الوردية المزهرة فوق سطح رخامي بني مرقّط.
image_114A;image_114B,food_007.jpg,"Mahyoub(200""CAMAL, wikimedia"")/food_007.jpg",5426264368c226ecf12e18085397298969b54d6fe7b88e2cdeb00213afd0b8e8,cuisine,makdous,,,,https://huggingface.co/datasets/ahmedheakl/arabic_foodvqa,CAMAL_arabic_foodvqa,sha256,,,ai_suggested,mixed200,برطمان زجاجي مغلق بغطاء أبيض يحوي مكدوس: باذنجان صغير محشو بشرائح فلفل أحمر، مغموس بالكامل في زيت زيتون. تظهر خلفه زجاجة زيت صفراء اللون وخلفية ضبابية فاتحة.
image_115A;image_115B,food_007.png,"Mahyoub(200""CAMAL, wikimedia"")/food_007.png",fe6d884e753aa40314d463fdee602d2e18cf176ed30810b65f7782b4fe6c98cd,cuisine,saj_bread,,Saudi_Arabia,,https://huggingface.co/datasets/UBC-NLP/PEARL,PEARL,sha256,,,ai_suggested,mixed200,عجينة خبز بيضاء مفرودة فوق سطح صاج أسود مقبّب كبير، تنتشر عليه فقاعات هوائية متفاوتة الحجم. يظهر على طاولة إلى اليسار كومة من أرغفة مطهوة مسبقًا مطوية، وأنبوب غاز أزرق يمتد أسفل الموقد.
image_116A;image_116B,food_008.jpg,"Mahyoub(200""CAMAL, wikimedia"")/food_008.jpg",c4c071a5d9bce9b3ead7661a747c57708575b9b171155dfad2ff497b411489de,cuisine,dolma,,,,https://huggingface.co/datasets/ahmedheakl/arabic_foodvqa,CAMAL_arabic_foodvqa,sha256,,,ai_suggested,mixed200,ورقة عنب واحدة مفردة بلون أخضر داكن تظهر عروقها بوضوح، تتجمع من قاعدتها ثلاث سويقات وردية اللون معًا. تستقر الورقة على لوح خشبي بني ذي عروق بارزة وبقعة داكنة إلى يمينها. يظهر في الزاوية العلوية اليسرى تكديس من لفافات ورق عنب ملفوفة جزئيًا داخل الإطار.
