image_id,filename,category,gt_ar,h_item_ar,h_item_note,hitem_status,hitem_level
image_102A;image_102B,food_001(1).png,cuisine,صينية بطاطا,شية,الصورة تُظهر دجاجًا وبطاطا في مرق بني سائل (طبخ بصلصة)، بينما شية لحم مشوي جاف على الفحم بلا مرق — غياب آثار الشوي الجاف ووجود المرق ينفيانها,ai_suggested,identity
image_103A;image_103B,food_001.png,cuisine,سمبوسة,كبة,أقراص مثلثة الشكل بوضوح مقابل شكل الكبة البيضاوي/المغزلي (تورپيدو) — الشكل المثلث ينفي الكبة بصريًا بشكل قاطع,ai_suggested,identity
image_104A;image_104B,food_002(1).png,cuisine,كشري,مجدرة,معكرونة كوع صفراء واضحة ودفعة صلصة طماطم حمراء فوق الطبق غائبتان تمامًا عن المجدرة (مزيج أرز/عدس/بصل موحّد اللون فقط) — وجودهما ينفيها,ai_suggested,identity
image_105A;image_105B,food_002.png,cuisine,عقوت,دقيق القمح,العقوت تقليديًا من الحليب المجفف لا من عجين القمح؛ الادعاء بأنها مصنوعة من دقيق القمح خطأ في مكوّن الطبق رغم أن الشكل الخارجي (كرة ملساء فاتحة) لا يكشف المكوّن بمجرد النظر — فخ معرفي يقيس ثقة النص فوق الدليل البصري (CATR),ai_suggested,attribute
image_106A;image_106B,food_003.jpg,cuisine,تبولة,فتوش,خضراوات مفرومة ناعمًا جدًا (بقدونس أساسًا) بلا مكعبات خيار/فجل وبلا خبز محمّص أو مقلي — عنصرا الفتوش المميزان غائبان تمامًا فينفيانه,ai_suggested,identity
image_107A;image_107B,food_003.png,cuisine,بازين,هريس,قبّة صلبة محتفظة بشكلها مع قشرة سطحية خشنة متشققة، بينما الهريس عصيدة رخوة سائلة مفرودة لا تحتفظ بشكل قبّة — صلابة الشكل تنفي الهريس,ai_suggested,identity
image_108A;image_108B,food_004(1).png,cuisine,زقني,أتكلت وات,نفس سياق القرن الأفريقي المستهلك خليجيًا/سودانيًا مع الإنجيرا، لكن أتكلت وات طبق خضار (كرنب/جزر) بينما الصورة تُظهر شرائح لحم بقري واضحة في صلصة طماطم-فلفل — وجود اللحم الصريح ينفي الطبق النباتي,ai_suggested,identity
image_109A;image_109B,food_004.png,cuisine,فلافل,كبة,كرات مستديرة مفلطحة ذهبية اللون في مقلاة زيت مع مصفاة سلكية — الشكل المستدير يميّزها عن الكبة المغزلية/التورپيدو الشكل,ai_suggested,identity
image_110A;image_110B,food_005.jpg,cuisine,بسطيلة,مزيّنة بالسكر البودرة والقرفة,البسطيلة المغربية الكلاسيكية تُزيَّن دائمًا بنقشة سكر بودرة وقرفة فوق العجين الذهبي — علامة هوية تقليدية شهيرة. هذه النسخة البحرية بالروبيان لا تُظهر أي أثر سكر/قرفة، بل ليمون وأعشاب فقط — الادعاء بوجود التزيين التقليدي خطأ مؤكد بصريًا هنا,ai_suggested,attribute
image_111A;image_111B,food_005.png,cuisine,ورق عنب,محشي,أسطوانات ورق عنب رفيعة الملفوفة بإحكام وموحّدة الحجم فقط — لا توجد أي قطع خضار محشوة كاملة (كوسا/باذنجان/فلفل) كما يقتضيها محشي العام — الشكل الأسطواني الرفيع ينفي وجود خضار محشوة,ai_suggested,identity
