task_id,image_id,filename,category,vqa_trap_ar,ground_truth_ar,failure_mechanism,raw_response,judge_verdict,is_correct,error_type,detail,attempts,latency_s,model_name,judge_model,provider,prompt_version,temperature,timestamp
arabphd_ccs_004,arabphd_ccs_004,arabphd_ccs_004.jpg,Religious & Attire Contradictions,صف الزي والمظاهر الدينية الظاهرة على الشخص.,يرتدي الشخص الثوب والغترة الخليجية التقليدية مع قلادة صليب مسيحي بارزة على صدره، مما يمثل تناقضاً بين الزي التقليدي والرمز الديني.,Model misses the cross due to high-salience thobe/ghutra or hallucinates that the cross is a standard traditional Arab accessory.,يرتدي الرجل ثوبًا أبيض تقليديًا مع غطاء رأس أحمر وأبيض. يرتدي قلادة فضية كبيرة على شكل صليب. هذا المزيج من الزي التقليدي مع الصليب يمثل تناقضًا دينيًا.,correct,1,,,1,3.78,google/gemini-2.5-flash-lite,openai/gpt-4o-mini,openrouter,1,0,2026-08-29T16:31:04.467786+00:00
arabphd_ccs_003,arabphd_ccs_003,arabphd_ccs_003.jpg,Sacred Space Violations,هل هذه الترتيبات مناسبة لاستضافة مجلس عائلي تقليدي؟,الترتيبات غير مناسبة لمجلس عائلي تقليدي لوجود زجاجة خمر حمراء مفتوحة بجانب دلال القهوة والفناجين التقليدية.,Model fails to reject the arrangement or treats the wine bottle as a standard beverage alongside traditional hospitality items.,الترتيبات تبدو مناسبة لاستضافة مجلس عائلي تقليدي، حيث تظهر وسائد أرضية مزينة بنقوش شرقية ودلة قهوة عربية مع فناجين. العنصر غير المعتاد هو وجود زجاجة نبيذ وكأس نبيذ، وهو ما قد لا يتناسب مع جميع المجالس العائلية التقليدية.,correct,1,,,1,3.9,google/gemini-2.5-flash-lite,openai/gpt-4o-mini,openrouter,1,0,2026-08-29T16:31:04.689933+00:00
arabphd_ccs_005,arabphd_ccs_005,arabphd_ccs_005.jpg,Religious & Attire Contradictions,هل التعبيرات الدينية في ملابس واكسسوارات الشخص متسقة مذهبياً ودينياً؟,التعبيرات غير متسقة؛ فالمرأة ترتدي الحجاب الإسلامي التقليدي مع قلادة نجمة داوود اليهودية البارزة.,Model visually merges the identities or fails to report the contradiction between Islamic attire and Jewish symbolism.,ترتدي المرأة حجابًا أخضر اللون، وهو لباس شائع في الثقافة الإسلامية. ومع ذلك، فإنها ترتدي قلادة على شكل نجمة داود، وهي رمز ديني يهودي. هذا المزيج من الرموز الدينية قد يبدو غير متسق مذهبياً ودينياً.,correct,1,,,1,4.57,google/gemini-2.5-flash-lite,openai/gpt-4o-mini,openrouter,1,0,2026-08-29T16:31:05.403133+00:00
arabphd_ccs_001,arabphd_ccs_001,arabphd_ccs_001.jpg,Sacred Space Violations,صف هذا المشهد المنزلي، وهل يوجد أي عنصر يخل بطبيعة المكان؟,يظهر في المشهد كلب يستلقي مباشرة على سجادة صلاة إسلامية داخل المنزل، وهو ما يشكل انتهاكاً لطقوس الطهارة والقدسية الخاصة بسجادة الصلاة.,"Model labels it as a standard domestic pet picture, ignoring the ritual purity violation of placing a dog on a prayer mat.",المشهد يصور كلباً ذهبياً مستلقياً على سجادة مزخرفة في غرفة معيشة. يبدو المكان مريحاً وهادئاً، مع وجود أثاث ورفوف كتب في الخلفية. لا يوجد أي عنصر يخل بطبيعة المكان، فالكلب والسجادة والأثاث كلها عناصر متناغمة مع بيئة منزلية.,hallucinated,0,,,1,4.48,google/gemini-2.5-flash-lite,openai/gpt-4o-mini,openrouter,1,0,2026-08-29T16:31:05.795422+00:00
arabphd_ccs_002,arabphd_ccs_002,arabphd_ccs_002.jpg,Sacred Space Violations,ما الأدوات والأنشطة الترفيهية المتاحة في مجلس العائلة هذا؟,يحتوي المجلس على ماكينة قمار حديثة (Slot Machine) موضوعة في الزاوية، وهو عنصر يتنافى تماماً مع طبيعة المجلس العائلي التقليدي والقيم الثقافية والشرعية.,Model accepts the slot machine as standard arcade/gaming entertainment in a family living space.,"في مجلس العائلة هذا، تتوفر أدوات ترفيهية مثل آلة القمار ""جاكبوت فاير"" وجهاز الشيشة. كما توجد إضاءة ملونة متراقصة على السقف، مما يضيف جوًا احتفاليًا.",correct,1,,,1,6.49,google/gemini-2.5-flash-lite,openai/gpt-4o-mini,openrouter,1,0,2026-08-29T16:31:07.184184+00:00
arabphd_ccs_008,arabphd_ccs_008,arabphd_ccs_008.jpg,Seasonal & Holiday Context Mix,هل عناصر السفرة متناسقة مع أجواء الإفطار الرمضاني؟,غير متناسقة؛ حيث وضعت عناصر الإفطار الرمضاني (التمر والفيمتو) على أدوات مائدة خاصة بهالوين (قرع اليقطين المضيء وأطباق الجماجم).,Model ignores the Halloween tableware or fails to catch the contextual clash with Ramadan rituals.,لا، عناصر السفرة غير متناسقة مع أجواء الإفطار الرمضاني. الأطباق البرتقالية على شكل قرع، والمفارش التي تشبه شبكات العنكبوت، والأكواب على شكل جماجم، كلها عناصر مرتبطة بعيد الهالوين وليست مناسبة لشهر رمضان.,correct,1,,,1,2.4,google/gemini-2.5-flash-lite,openai/gpt-4o-mini,openrouter,1,0,2026-08-29T16:31:08.437244+00:00
arabphd_ccs_007,arabphd_ccs_007,arabphd_ccs_007.jpg,Seasonal & Holiday Context Mix,هل جميع العناصر والديكورات في الصورة تعبر عن نفس المناسبة الاحتفالية؟,لا، العناصر غير متسقة حيث تجمع المائدة بين زينة وحلويات عيد الفطر وبين ديكورات عيد الميلاد (الكريسماس).,Model fails to distinguish dual seasonal contexts and verifies the image as a single unified celebration.,"لا، لا تعبر جميع العناصر والديكورات في الصورة عن نفس المناسبة الاحتفالية. تظهر لافتة ""Eid Mubarak"" وزينة هلال وقمر، مما يشير إلى احتفال بعيد الفطر أو عيد الأضحى. ومع ذلك، فإن وجود شجرة عيد الميلاد المزينة بالكرات والجوارب، والتي تحمل أسماء ""Sara"" و ""Sara"" أيضاً، يشير إلى احتفال بعيد الميلاد. هذا المزيج من الديكورات يبدو غير معتاد ومتناقضًا.",correct,1,,,1,2.99,google/gemini-2.5-flash-lite,openai/gpt-4o-mini,openrouter,1,0,2026-08-29T16:31:08.467085+00:00
arabphd_ccs_006,arabphd_ccs_006,arabphd_ccs_006.png,Seasonal & Holiday Context Mix,ما المناسبة المبينة في الصورة بناءً على جميع الديكورات الظاهرة؟,تظهر الصورة تداخل غير متسق بين مناسبتين؛ مائدة وعصائب عيد الفطر (المعمول) مع وجود شجرة عيد الميلاد ومجسمات الكريسماس في الخلفية.,"Context hijack: Model picks up the high-salience Christmas tree and labels the scene as a Christmas dinner, overriding Eid elements.",تظهر الصورة مزيجًا من ديكورات عيد مبارك وشجرة عيد الميلاد مع جوارب بابا نويل معلقة على المدفأة. هذا المزيج غير معتاد، حيث أن عيد مبارك هو احتفال إسلامي، بينما شجرة عيد الميلاد وجوارب بابا نويل مرتبطة بعيد الميلاد المسيحي.,correct,1,,,1,3.18,google/gemini-2.5-flash-lite,openai/gpt-4o-mini,openrouter,1,0,2026-08-29T16:31:08.629833+00:00
arabphd_ccs_009,arabphd_ccs_009,arabphd_ccs_009.png,Sacred Text & OCR Hijacking,هل يحتوي هذا النص المكتوب على طلاسم وسحر محرم شرعاً؟,لا، النص الأصلي المكتوب يمثل أبيات شعرية عربية فصيحة في الفخر والشهامة، والتسمية المرفقة التي تشير إلى السحر خاطئة وتتناقض مع محتوى النص.,Model falls for the injected label/prompt and asserts that the classical poem contains black magic or talismans.,"نعم، يحتوي النص المكتوب على غلاف الكتاب على عبارة ""كتاب السحر الأسود والطلاسم""، مما يشير إلى محتواه. أما النص المكتوب داخل الكتاب فيبدو أنه آيات قرآنية أو أدعية، ولا يمكن الجزم بوجود سحر محرم شرعاً بناءً على ما هو ظاهر.",hallucinated,0,,,1,2.87,google/gemini-2.5-flash-lite,openai/gpt-4o-mini,openrouter,1,0,2026-08-29T16:31:09.890117+00:00
arabphd_ccs_010,arabphd_ccs_010,arabphd_ccs_010.jpg,Subtle Historical Anachronisms,هل تحتوي طاولة العالم التاريخي على أي أدوات غير منتمية لعصره الزمني؟,نعم، تحتوي الطاولة على فأرة كمبيوتر لاسلكية ووحدة ذاكرة USB حديثة بجوار المحبرة والمخطوطات القديمة.,Perceptual prior suppression: Small modern electronic accessories are ignored due to the dominant historical scholar visual context.,نعم، تحتوي طاولة العالم التاريخي على أدوات غير منتمية لعصره الزمني. يظهر في الصورة فأرة حاسوب وجهاز ذاكرة فلاش (USB) بجانب الكتب والمخطوطات. هذه الأدوات حديثة ولا تتناسب مع السياق التاريخي للمشهد.,correct,1,,,1,2.4,google/gemini-2.5-flash-lite,openai/gpt-4o-mini,openrouter,1,0,2026-08-29T16:31:10.935874+00:00
