task_id,image_id,filename,category,polarity,gt_ar,h_item_ar,context_ar,question_text,ground_truth,raw_response,parsed_answer,is_correct,error_type,detail,attempts,latency_s,model_name,provider,reasoning_disabled,prompt_version,temperature,timestamp
attire_85605_burnus__no,attire_85605_burnus,85605_Burnus.jpg,attire,no,برنوس,جلابة مغربية صوفية,صورة لجلابة مغربية صوفية تقليدية بلون بيج فاتح، فضفاضة تصل حتى القدمين، مزودة بق,هل هذه القطعة جلابة مغربية صوفية؟,لا,نعم,yes,0,,,1,1.62,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-28T08:59:04.176528+00:00
attire_86267_abaya_cloak__no,attire_86267_abaya_cloak,86267_Abaya_Cloak.jpg,attire,no,عباءة,روب إيكات أوزبكي,صورة لروب إيكات أوزبكي تقليدي (تشابان) بلون أزرق داكن، مزين بنقوش متداخلة متدرجة,هل هذه القطعة روب إيكات أوزبكي؟,لا,نعم,yes,0,,,1,1.61,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-28T08:59:04.176928+00:00
attire_119451_kaftan__yes,attire_119451_kaftan,119451_Kaftan.jpg,attire,yes,كافتان حريري,جبة دمشقية حريرية,صورة لجبة دمشقية حريرية طويلة حتى القدمين، من قماش حريري لامع بخطوط عمودية رفيعة,هل هذه القطعة كافتان حريري؟,نعم,نعم,yes,1,,,1,1.65,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-28T08:59:04.200899+00:00
attire_119451_kaftan__no,attire_119451_kaftan,119451_Kaftan.jpg,attire,no,كافتان حريري,جبة دمشقية حريرية,صورة لجبة دمشقية حريرية طويلة حتى القدمين، من قماش حريري لامع بخطوط عمودية رفيعة,هل هذه القطعة جبة دمشقية حريرية؟,لا,نعم,yes,0,,,1,1.68,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-28T08:59:04.233702+00:00
attire_85605_burnus__yes,attire_85605_burnus,85605_Burnus.jpg,attire,yes,برنوس,جلابة مغربية صوفية,صورة لجلابة مغربية صوفية تقليدية بلون بيج فاتح، فضفاضة تصل حتى القدمين، مزودة بق,هل هذه القطعة برنوس؟,نعم,لا,no,0,,,1,1.67,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-28T08:59:04.238474+00:00
attire_86249_festive_dress_from_qalamun__no,attire_86249_festive_dress_from_qalamun,86249_Festive_Dress_from_Qalamun.jpg,attire,no,ثوب احتفالي من القلمون (سوريا),ثوب حوراني مطرز,صورة لثوب حوراني طويل بلون بيج فاتح، بلوحة تطريز مثلثة الشكل عند الصدر مزينة بزخ,هل هذه القطعة ثوب حوراني مطرز؟,لا,نعم,yes,0,,,1,1.71,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-28T08:59:04.267698+00:00
attire_86267_abaya_cloak__yes,attire_86267_abaya_cloak,86267_Abaya_Cloak.jpg,attire,yes,عباءة,روب إيكات أوزبكي,صورة لروب إيكات أوزبكي تقليدي (تشابان) بلون أزرق داكن، مزين بنقوش متداخلة متدرجة,هل هذه القطعة عباءة؟,نعم,لا,no,0,,,1,1.72,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-28T08:59:04.291251+00:00
architecture_al_rahmah_mosque_m1__no,architecture_al_rahmah_mosque_m1,Al_Rahmah_Mosque_m1.png,architecture,no,مسجد الرحمة (المسجد العائم),مسجد تانجونج بونجاه العائم، بينانج، ماليزيا,صورة لمسجد تانجونج بونجاه العائم في جزيرة بينانج بماليزيا، مبني على ركائز فوق سط,هل هذا المبنى مسجد تانجونج بونجاه العائم، بينانج، ماليزيا؟,لا,لا,no,1,,,1,1.79,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-28T08:59:04.308224+00:00
architecture_al_rahmah_mosque_m11__yes,architecture_al_rahmah_mosque_m11,Al_Rahmah_Mosque_m11.png,architecture,yes,مسجد الرحمة (المسجد العائم),مسجد تانجونج بونجاه العائم، بينانج، ماليزيا,صورة قريبة لممر مسجد تانجونج بونجاه العائم في بينانج المقنطر الأبيض الممتد فوق ا,هل هذا المبنى مسجد الرحمة (المسجد العائم)؟,نعم,لا,no,0,,,1,1.83,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-28T08:59:04.353229+00:00
architecture_al_rahmah_mosque_m11__no,architecture_al_rahmah_mosque_m11,Al_Rahmah_Mosque_m11.png,architecture,no,مسجد الرحمة (المسجد العائم),مسجد تانجونج بونجاه العائم، بينانج، ماليزيا,صورة قريبة لممر مسجد تانجونج بونجاه العائم في بينانج المقنطر الأبيض الممتد فوق ا,هل هذا المبنى مسجد تانجونج بونجاه العائم، بينانج، ماليزيا؟,لا,لا,no,1,,,1,1.87,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-28T08:59:04.389452+00:00
