task_id,image_id,filename,category,polarity,gt_ar,h_item_ar,context_ar,question_text,ground_truth,raw_response,parsed_answer,is_correct,error_type,detail,attempts,latency_s,model_name,provider,reasoning_disabled,prompt_version,temperature,timestamp
architecture_al_rahmah_mosque_m12__no,architecture_al_rahmah_mosque_m12,Al_Rahmah_Mosque_m12.png,architecture,no,مسجد الرحمة (المسجد العائم),مسجد تانجونج بونجاه العائم، بينانج، ماليزيا,صورة نهارية واسعة لمسجد تانجونج بونجاه العائم بالكامل من الساحل في بينانج، تُظهر,هل هذا المبنى مسجد تانجونج بونجاه العائم، بينانج، ماليزيا؟,لا,نعم,yes,0,,,1,1.79,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:09:35.644920+00:00
architecture_al_rahmah_mosque_m11__no,architecture_al_rahmah_mosque_m11,Al_Rahmah_Mosque_m11.png,architecture,no,مسجد الرحمة (المسجد العائم),مسجد تانجونج بونجاه العائم، بينانج، ماليزيا,صورة قريبة لممر مسجد تانجونج بونجاه العائم في بينانج المقنطر الأبيض الممتد فوق ا,هل هذا المبنى مسجد تانجونج بونجاه العائم، بينانج، ماليزيا؟,لا,نعم,yes,0,,,1,1.89,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:09:35.744258+00:00
architecture_al_rahmah_mosque_m11__yes,architecture_al_rahmah_mosque_m11,Al_Rahmah_Mosque_m11.png,architecture,yes,مسجد الرحمة (المسجد العائم),مسجد تانجونج بونجاه العائم، بينانج، ماليزيا,صورة قريبة لممر مسجد تانجونج بونجاه العائم في بينانج المقنطر الأبيض الممتد فوق ا,هل هذا المبنى مسجد الرحمة (المسجد العائم)؟,نعم,نعم,yes,1,,,1,2.02,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:09:35.877460+00:00
architecture_jabal_alfil_elephant_rock_elephant_1__yes,architecture_jabal_alfil_elephant_rock_elephant_1,Jabal_AlFil_Elephant_Rock_elephant (1).png,architecture,yes,جبل الفيل بالعلا,جبل القارة بالأحساء,صورة لجبل القارة الرملي الشهير في الأحساء، وهو تكوين صخري طبيعي بلون بني ذهبي يح,هل هذا المبنى جبل الفيل بالعلا؟,نعم,لا,no,0,,,1,2.7,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:09:36.553276+00:00
architecture_al_rahmah_mosque_m1__no,architecture_al_rahmah_mosque_m1,Al_Rahmah_Mosque_m1.png,architecture,no,مسجد الرحمة (المسجد العائم),مسجد تانجونج بونجاه العائم، بينانج، ماليزيا,صورة لمسجد تانجونج بونجاه العائم في جزيرة بينانج بماليزيا، مبني على ركائز فوق سط,هل هذا المبنى مسجد تانجونج بونجاه العائم، بينانج، ماليزيا؟,لا,نعم,yes,0,,,1,2.79,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:09:36.644314+00:00
architecture_jabal_alfil_elephant_rock_elephant_1__no,architecture_jabal_alfil_elephant_rock_elephant_1,Jabal_AlFil_Elephant_Rock_elephant (1).png,architecture,no,جبل الفيل بالعلا,جبل القارة بالأحساء,صورة لجبل القارة الرملي الشهير في الأحساء، وهو تكوين صخري طبيعي بلون بني ذهبي يح,هل هذا المبنى جبل القارة بالأحساء؟,لا,نعم,yes,0,,,1,2.86,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:09:36.714865+00:00
architecture_jabal_alfil_elephant_rock_elephant_11__yes,architecture_jabal_alfil_elephant_rock_elephant_11,Jabal_AlFil_Elephant_Rock_elephant (11).png,architecture,yes,جبل الفيل بالعلا,جبل القارة بالأحساء,صورة لجبل القارة بالأحساء عند الغروب مع أشعة شمس منتشرة من خلال فتحته المقوسة، و,هل هذا المبنى جبل الفيل بالعلا؟,نعم,لا,no,0,,,1,2.94,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:09:36.796116+00:00
attire_85605_burnus__yes,attire_85605_burnus,85605_Burnus.jpg,attire,yes,برنوس,جلابة مغربية صوفية,صورة لجلابة مغربية صوفية تقليدية بلون بيج فاتح، فضفاضة تصل حتى القدمين، مزودة بق,هل هذه القطعة برنوس؟,نعم,نعم,yes,1,,,1,1.17,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:09:37.043655+00:00
architecture_jabal_alfil_elephant_rock_elephant_13__no,architecture_jabal_alfil_elephant_rock_elephant_13,Jabal_AlFil_Elephant_Rock_elephant (13).png,architecture,no,جبل الفيل بالعلا,جبل القارة بالأحساء,صورة نهارية واسعة لجبل القارة بالأحساء تحت سماء غائمة جزئياً، تُظهر طبقاته الصخر,هل هذا المبنى جبل القارة بالأحساء؟,لا,لا,no,1,,,1,3.24,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:09:37.111379+00:00
architecture_al_rahmah_mosque_m12__yes,architecture_al_rahmah_mosque_m12,Al_Rahmah_Mosque_m12.png,architecture,yes,مسجد الرحمة (المسجد العائم),مسجد تانجونج بونجاه العائم، بينانج، ماليزيا,صورة نهارية واسعة لمسجد تانجونج بونجاه العائم بالكامل من الساحل في بينانج، تُظهر,هل هذا المبنى مسجد الرحمة (المسجد العائم)؟,نعم,لا,no,0,,,1,3.65,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:09:37.507625+00:00
attire_86249_festive_dress_from_qalamun__yes,attire_86249_festive_dress_from_qalamun,86249_Festive_Dress_from_Qalamun.jpg,attire,yes,ثوب احتفالي من القلمون (سوريا),ثوب حوراني مطرز,صورة لثوب حوراني طويل بلون بيج فاتح، بلوحة تطريز مثلثة الشكل عند الصدر مزينة بزخ,هل هذه القطعة ثوب احتفالي من القلمون (سوريا)؟,نعم,نعم,yes,1,,,1,0.89,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:09:37.535144+00:00
architecture_al_rahmah_mosque_m1__yes,architecture_al_rahmah_mosque_m1,Al_Rahmah_Mosque_m1.png,architecture,yes,مسجد الرحمة (المسجد العائم),مسجد تانجونج بونجاه العائم، بينانج، ماليزيا,صورة لمسجد تانجونج بونجاه العائم في جزيرة بينانج بماليزيا، مبني على ركائز فوق سط,هل هذا المبنى مسجد الرحمة (المسجد العائم)؟,نعم,لا,no,0,,,1,4.04,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:09:37.891867+00:00
architecture_jabal_alfil_elephant_rock_elephant_12__yes,architecture_jabal_alfil_elephant_rock_elephant_12,Jabal_AlFil_Elephant_Rock_elephant (12).png,architecture,yes,جبل الفيل بالعلا,جبل القارة بالأحساء,صورة ليلية لجبل القارة بالأحساء مضاءً بإضاءة برتقالية دافئة من الأسفل، وسط منطقة,هل هذا المبنى جبل الفيل بالعلا؟,نعم,لا,no,0,,,1,4.06,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:09:37.920423+00:00
attire_86267_abaya_cloak__yes,attire_86267_abaya_cloak,86267_Abaya_Cloak.jpg,attire,yes,عباءة,روب إيكات أوزبكي,صورة لروب إيكات أوزبكي تقليدي (تشابان) بلون أزرق داكن، مزين بنقوش متداخلة متدرجة,هل هذه القطعة عباءة؟,نعم,نعم,yes,1,,,1,0.92,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:09:38.032292+00:00
architecture_al_rahmah_mosque_m13__no,architecture_al_rahmah_mosque_m13,Al_Rahmah_Mosque_m13.png,architecture,no,مسجد الرحمة (المسجد العائم),مسجد تانجونج بونجاه العائم، بينانج، ماليزيا,صورة لمسجد تانجونج بونجاه العائم عند الشفق بألوان سماء زرقاء داكنة في بينانج، مع,هل هذا المبنى مسجد تانجونج بونجاه العائم، بينانج، ماليزيا؟,لا,نعم,yes,0,,,1,4.32,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:09:38.171107+00:00
attire_119451_kaftan__no,attire_119451_kaftan,119451_Kaftan.jpg,attire,no,كافتان حريري,جبة دمشقية حريرية,صورة لجبة دمشقية حريرية طويلة حتى القدمين، من قماش حريري لامع بخطوط عمودية رفيعة,هل هذه القطعة جبة دمشقية حريرية؟,لا,نعم,yes,0,,,1,2.54,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:09:38.281888+00:00
architecture_al_rahmah_mosque_m10__no,architecture_al_rahmah_mosque_m10,Al_Rahmah_Mosque_m10.png,architecture,no,مسجد الرحمة (المسجد العائم),مسجد تانجونج بونجاه العائم، بينانج، ماليزيا,صورة ليلية لمسجد تانجونج بونجاه العائم في بينانج بماليزيا، مضاءً بإضاءة زرقاء وخ,هل هذا المبنى مسجد تانجونج بونجاه العائم، بينانج، ماليزيا؟,لا,نعم,yes,0,,,1,4.57,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:09:38.423223+00:00
architecture_al_rahmah_mosque_m13__yes,architecture_al_rahmah_mosque_m13,Al_Rahmah_Mosque_m13.png,architecture,yes,مسجد الرحمة (المسجد العائم),مسجد تانجونج بونجاه العائم، بينانج، ماليزيا,صورة لمسجد تانجونج بونجاه العائم عند الشفق بألوان سماء زرقاء داكنة في بينانج، مع,هل هذا المبنى مسجد الرحمة (المسجد العائم)؟,نعم,نعم,yes,1,,,1,4.61,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:09:38.462454+00:00
architecture_jabal_alfil_elephant_rock_elephant_11__no,architecture_jabal_alfil_elephant_rock_elephant_11,Jabal_AlFil_Elephant_Rock_elephant (11).png,architecture,no,جبل الفيل بالعلا,جبل القارة بالأحساء,صورة لجبل القارة بالأحساء عند الغروب مع أشعة شمس منتشرة من خلال فتحته المقوسة، و,هل هذا المبنى جبل القارة بالأحساء؟,لا,لا,no,1,,,1,4.62,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:09:38.472789+00:00
attire_119451_kaftan__yes,attire_119451_kaftan,119451_Kaftan.jpg,attire,yes,كافتان حريري,جبة دمشقية حريرية,صورة لجبة دمشقية حريرية طويلة حتى القدمين، من قماش حريري لامع بخطوط عمودية رفيعة,هل هذه القطعة كافتان حريري؟,نعم,نعم,yes,1,,,1,2.98,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:09:38.627365+00:00
architecture_jabal_alfil_elephant_rock_elephant_10__no,architecture_jabal_alfil_elephant_rock_elephant_10,Jabal_AlFil_Elephant_Rock_elephant (10).png,architecture,no,جبل الفيل بالعلا,جبل القارة بالأحساء,صورة نهارية لجبل القارة بالأحساء مع سيارة وأشخاص صغار الحجم أمامه لإظهار مقياسه ,هل هذا المبنى جبل القارة بالأحساء؟,لا,لا,no,1,,,1,4.78,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:09:38.635838+00:00
architecture_al_rahmah_mosque_m10__yes,architecture_al_rahmah_mosque_m10,Al_Rahmah_Mosque_m10.png,architecture,yes,مسجد الرحمة (المسجد العائم),مسجد تانجونج بونجاه العائم، بينانج، ماليزيا,صورة ليلية لمسجد تانجونج بونجاه العائم في بينانج بماليزيا، مضاءً بإضاءة زرقاء وخ,هل هذا المبنى مسجد الرحمة (المسجد العائم)؟,نعم,نعم,yes,1,,,1,4.83,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:09:38.685493+00:00
attire_86275_abaya_cloak__no,attire_86275_abaya_cloak,86275_Abaya_Cloak.jpg,attire,no,عباءة سورية حمراء مخططة (نسخة ثانية),معطف بدوي أحمر مخطط بالساتان,صورة لمعطف بدوي طويل فضفاض بلون أحمر عنابي ذي بريق ساتان خفيف، تتخلله أشرطة رفيع,هل هذه القطعة معطف بدوي أحمر مخطط بالساتان؟,لا,نعم,yes,0,,,1,1.04,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:09:38.931935+00:00
architecture_jabal_alfil_elephant_rock_elephant_10__yes,architecture_jabal_alfil_elephant_rock_elephant_10,Jabal_AlFil_Elephant_Rock_elephant (10).png,architecture,yes,جبل الفيل بالعلا,جبل القارة بالأحساء,صورة نهارية لجبل القارة بالأحساء مع سيارة وأشخاص صغار الحجم أمامه لإظهار مقياسه ,هل هذا المبنى جبل الفيل بالعلا؟,نعم,لا,no,0,,,1,5.08,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:09:38.935381+00:00
cuisine_cuisine_of_egypt_02__yes,cuisine_cuisine_of_egypt_02,Cuisine_of_Egypt_02.jpg,cuisine,yes,باذنجان مشوي بالطماطم,متبل باذنجان مصري,صورة لطبق معدني دائري عليه متبل باذنجان مصري مهروس مغطى بصلصة طماطم مفرومة، مزين,هل هذا الطبق باذنجان مشوي بالطماطم؟,نعم,لا,no,0,,,1,1.15,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:09:39.068622+00:00
cuisine_cuisine_of_egypt_07__yes,cuisine_cuisine_of_egypt_07,Cuisine_of_Egypt_07.jpg,cuisine,yes,أرز بلبن مصري,مهلبية بالأرز,صورة ليدين تحملان طبقين بحافة وردية يحتويان على مهلبية بالأرز بقوام كريمي أملس م,هل هذا الطبق أرز بلبن مصري؟,نعم,لا,no,0,,,1,0.81,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:09:39.230156+00:00
cuisine_cuisine_of_egypt_02__no,cuisine_cuisine_of_egypt_02,Cuisine_of_Egypt_02.jpg,cuisine,no,باذنجان مشوي بالطماطم,متبل باذنجان مصري,صورة لطبق معدني دائري عليه متبل باذنجان مصري مهروس مغطى بصلصة طماطم مفرومة، مزين,هل هذا الطبق متبل باذنجان مصري؟,لا,نعم,yes,0,,,1,1.25,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:09:39.284326+00:00
attire_86249_festive_dress_from_qalamun__no,attire_86249_festive_dress_from_qalamun,86249_Festive_Dress_from_Qalamun.jpg,attire,no,ثوب احتفالي من القلمون (سوريا),ثوب حوراني مطرز,صورة لثوب حوراني طويل بلون بيج فاتح، بلوحة تطريز مثلثة الشكل عند الصدر مزينة بزخ,هل هذه القطعة ثوب حوراني مطرز؟,لا,نعم,yes,0,,,1,2.66,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:09:39.376942+00:00
