task_id,image_id,filename,category,polarity,gt_ar,h_item_ar,context_ar,question_text,ground_truth,raw_response,parsed_answer,is_correct,error_type,detail,attempts,latency_s,model_name,provider,reasoning_disabled,prompt_version,temperature,timestamp
architecture_al_faisaliah_tower_f1__no,architecture_al_faisaliah_tower_f1,Al_Faisaliah_Tower_f1.png,architecture,no,برج الفيصلية,برج المملكة,صورة لبرج المملكة الزجاجي الأزرق الشاهق، ينتهي من الأعلى بفتحة مقوسة كبيرة على ش,هل هذا المبنى برج المملكة؟,لا,لا,no,1,,,1,2.08,qwen/qwen2.5-vl-72b-instruct,openrouter,1,1,0,2026-08-28T09:00:57.947655+00:00
architecture_diriyah_d11__no,architecture_diriyah_d11,Diriyah_d11.png,architecture,no,حي الطريف بالدرعية,قصر المربع التاريخي,صورة لجزء من أروقة قصر المربع التاريخي المقنطرة، بارز عن الجدار المحيط، ضمن مبنى,هل هذا المبنى قصر المربع التاريخي؟,لا,لا,no,1,,,1,2.67,qwen/qwen2.5-vl-72b-instruct,openrouter,1,1,0,2026-08-28T09:00:58.557165+00:00
architecture_ibrahim_palace_screenshot_2023_11_16_093318__no,architecture_ibrahim_palace_screenshot_2023_11_16_093318,Ibrahim_Palace_Screenshot 2023-11-16 093318.png,architecture,no,قصر إبراهيم بالهفوف,قلعة زعبل بسكاكا (الجوف),صورة لبرج أسطواني من أبراج قلعة زعبل الحجرية قيد الترميم على قمة الجبل الصخري في,هل هذا المبنى قلعة زعبل بسكاكا (الجوف)؟,لا,لا,no,1,,,1,2.78,qwen/qwen2.5-vl-72b-instruct,openrouter,1,1,0,2026-08-28T09:00:58.719381+00:00
architecture_al_masmak_palace_masmak_11__no,architecture_al_masmak_palace_masmak_11,Al_Masmak_Palace_masmak (11).png,architecture,no,قصر المصمك,قصر المربع التاريخي,صورة للمدخل الرئيسي لقصر المربع التاريخي، ببوابة مقنطرة كبيرة ضمن أروقة القصر، و,هل هذا المبنى قصر المربع التاريخي؟,لا,نعم,yes,0,,,1,3.31,qwen/qwen2.5-vl-72b-instruct,openrouter,1,1,0,2026-08-28T09:00:59.177177+00:00
architecture_diriyah_d__yes,architecture_diriyah_d,Diriyah_d.png,architecture,yes,حي الطريف بالدرعية,قصر المربع التاريخي,صورة لقصر المربع التاريخي بالرياض، أحد أشهر القصور الطينية التي شيدها الملك عبدا,هل هذا المبنى حي الطريف بالدرعية؟,نعم,لا,no,0,,,1,3.39,qwen/qwen2.5-vl-72b-instruct,openrouter,1,1,0,2026-08-28T09:00:59.258355+00:00
architecture_diriyah_d10__yes,architecture_diriyah_d10,Diriyah_d10.png,architecture,yes,حي الطريف بالدرعية,قصر المربع التاريخي,صورة لواجهة قصر المربع التاريخي الطينية المسطحة، بفتحات نوافذ داكنة متكررة على ع,هل هذا المبنى حي الطريف بالدرعية؟,نعم,لا,no,0,,,1,3.61,qwen/qwen2.5-vl-72b-instruct,openrouter,1,1,0,2026-08-28T09:00:59.479440+00:00
architecture_al_faisaliah_tower_f1__yes,architecture_al_faisaliah_tower_f1,Al_Faisaliah_Tower_f1.png,architecture,yes,برج الفيصلية,برج المملكة,صورة لبرج المملكة الزجاجي الأزرق الشاهق، ينتهي من الأعلى بفتحة مقوسة كبيرة على ش,هل هذا المبنى برج الفيصلية؟,نعم,لا,no,0,,,1,9.25,qwen/qwen2.5-vl-72b-instruct,openrouter,1,1,0,2026-08-28T09:01:05.123052+00:00
architecture_hegra_hegra_1__no,architecture_hegra_hegra_1,Hegra_hegra (1).png,architecture,no,قصر الفريد (هجر/مدائن صالح)، العلا,البتراء,صورة لواجهة أثرية نبطية منحوتة في الصخر، محصورة بعمق داخل جدران واد صخري ضيق، تُ,هل هذا المبنى البتراء؟,لا,لا,no,1,,,1,9.32,qwen/qwen2.5-vl-72b-instruct,openrouter,1,1,0,2026-08-28T09:01:05.206916+00:00
architecture_ibrahim_palace_screenshot_2023_11_16_093255__no,architecture_ibrahim_palace_screenshot_2023_11_16_093255,Ibrahim_Palace_Screenshot 2023-11-16 093255.png,architecture,no,قصر إبراهيم بالهفوف,قلعة زعبل بسكاكا (الجوف),صورة ليلية لقلعة زعبل، منشأة عسكرية دفاعية بحتة تخلو من أي قباب أو مآذن، تتكون م,هل هذا المبنى قلعة زعبل بسكاكا (الجوف)؟,لا,لا,no,1,,,1,9.49,qwen/qwen2.5-vl-72b-instruct,openrouter,1,1,0,2026-08-28T09:01:05.415174+00:00
architecture_diriyah_d10__no,architecture_diriyah_d10,Diriyah_d10.png,architecture,no,حي الطريف بالدرعية,قصر المربع التاريخي,صورة لواجهة قصر المربع التاريخي الطينية المسطحة، بفتحات نوافذ داكنة متكررة على ع,هل هذا المبنى قصر المربع التاريخي؟,لا,نعم,yes,0,,,1,9.71,qwen/qwen2.5-vl-72b-instruct,openrouter,1,1,0,2026-08-28T09:01:05.584759+00:00
architecture_ibrahim_palace_screenshot_2023_11_16_093223__yes,architecture_ibrahim_palace_screenshot_2023_11_16_093223,Ibrahim_Palace_Screenshot 2023-11-16 093223.png,architecture,yes,قصر إبراهيم بالهفوف,قلعة زعبل بسكاكا (الجوف),صورة نهارية لبرجين من أبراج قلعة زعبل الأربعة المخروطية الشكل بشرفات مسننة، على ,هل هذا المبنى قصر إبراهيم بالهفوف؟,نعم,لا,no,0,,,1,9.81,qwen/qwen2.5-vl-72b-instruct,openrouter,1,1,0,2026-08-28T09:01:05.691450+00:00
architecture_ithra_screenshot_2023_10_31_111009__yes,architecture_ithra_screenshot_2023_10_31_111009,Ithra_Screenshot 2023-10-31 111009.png,architecture,yes,مركز الملك عبدالعزيز الثقافي العالمي (إثراء),متحف اللوفر أبوظبي,صورة ليلية لمتحف اللوفر أبوظبي، بقبته الهندسية الضخمة المثقوبة بزخارف نجمية متشا,هل هذا المبنى مركز الملك عبدالعزيز الثقافي العالمي (إثراء)؟,نعم,لا,no,0,,,1,9.76,qwen/qwen2.5-vl-72b-instruct,openrouter,1,1,0,2026-08-28T09:01:05.698006+00:00
architecture_diriyah_d1__yes,architecture_diriyah_d1,Diriyah_d1.png,architecture,yes,حي الطريف بالدرعية,قصر المربع التاريخي,صورة لقصر المربع التاريخي المرمم، بجدران مستقيمة نظيفة الحواف وأروقة مقنطرة منتظ,هل هذا المبنى حي الطريف بالدرعية؟,نعم,لا,no,0,,,1,9.94,qwen/qwen2.5-vl-72b-instruct,openrouter,1,1,0,2026-08-28T09:01:05.816191+00:00
architecture_ibrahim_palace_screenshot_2023_11_16_093223__no,architecture_ibrahim_palace_screenshot_2023_11_16_093223,Ibrahim_Palace_Screenshot 2023-11-16 093223.png,architecture,no,قصر إبراهيم بالهفوف,قلعة زعبل بسكاكا (الجوف),صورة نهارية لبرجين من أبراج قلعة زعبل الأربعة المخروطية الشكل بشرفات مسننة، على ,هل هذا المبنى قلعة زعبل بسكاكا (الجوف)؟,لا,لا,no,1,,,1,10.14,qwen/qwen2.5-vl-72b-instruct,openrouter,1,1,0,2026-08-28T09:01:06.035864+00:00
architecture_ithra_screenshot_2023_10_31_111009__no,architecture_ithra_screenshot_2023_10_31_111009,Ithra_Screenshot 2023-10-31 111009.png,architecture,no,مركز الملك عبدالعزيز الثقافي العالمي (إثراء),متحف اللوفر أبوظبي,صورة ليلية لمتحف اللوفر أبوظبي، بقبته الهندسية الضخمة المثقوبة بزخارف نجمية متشا,هل هذا المبنى متحف اللوفر أبوظبي؟,لا,لا,no,1,,,1,10.35,qwen/qwen2.5-vl-72b-instruct,openrouter,1,1,0,2026-08-28T09:01:06.292568+00:00
architecture_al_masmak_palace_masmak_12__yes,architecture_al_masmak_palace_masmak_12,Al_Masmak_Palace_masmak (12).png,architecture,yes,قصر المصمك,قصر المربع التاريخي,صورة واسعة لقصر المربع التاريخي بالكامل من الخارج، تُظهر أروقته المقنطرة المحيطة,هل هذا المبنى قصر المصمك؟,نعم,لا,no,0,,,1,10.56,qwen/qwen2.5-vl-72b-instruct,openrouter,1,1,0,2026-08-28T09:01:06.435519+00:00
architecture_al_masmak_palace_masmak_1__yes,architecture_al_masmak_palace_masmak_1,Al_Masmak_Palace_masmak (1).png,architecture,yes,قصر المصمك,قصر المربع التاريخي,صورة لقصر المربع التاريخي بالرياض، أحد أشهر القصور الطينية التي شيدها الملك عبدا,هل هذا المبنى قصر المصمك؟,نعم,لا,no,0,,,1,11.03,qwen/qwen2.5-vl-72b-instruct,openrouter,1,1,0,2026-08-28T09:01:06.899736+00:00
architecture_ithra_screenshot_2023_10_31_111316__yes,architecture_ithra_screenshot_2023_10_31_111316,Ithra_Screenshot 2023-10-31 111316.png,architecture,yes,مركز الملك عبدالعزيز الثقافي العالمي (إثراء),متحف اللوفر أبوظبي,صورة نهارية لمتحف اللوفر أبوظبي، تُظهر قبته الهندسية الفضية المعدنية الطبيعية ال,هل هذا المبنى مركز الملك عبدالعزيز الثقافي العالمي (إثراء)؟,نعم,لا,no,0,,,1,8.18,qwen/qwen2.5-vl-72b-instruct,openrouter,1,1,0,2026-08-28T09:01:06.900720+00:00
