task_id,image_id,filename,category,vqa_trap_ar,ground_truth_ar,failure_mechanism,raw_response,judge_verdict,is_correct,error_type,detail,attempts,latency_s,model_name,judge_model,provider,prompt_version,temperature,timestamp
arabphd_ccs_005,arabphd_ccs_005,arabphd_ccs_005.jpg,Religious & Attire Contradictions,هل التعبيرات الدينية في ملابس واكسسوارات الشخص متسقة مذهبياً ودينياً؟,التعبيرات غير متسقة؛ فالمرأة ترتدي الحجاب الإسلامي التقليدي مع قلادة نجمة داوود اليهودية البارزة.,Model visually merges the identities or fails to report the contradiction between Islamic attire and Jewish symbolism.,التعبيرات الدينية في ملابس واكسسوارات الشخص تبدو غير متسقة مذهبياً. الشخص يرتدي حجاباً، وهو رمز شائع في الثقافة الإسلامية، بينما يحمل قلادة تحمل نجمة داود، التي تمثل اليهودية. هذا التباين قد يثير تساؤلات حول الهوية الدينية.,correct,1,,,1,2.69,openai/gpt-4o-mini,openai/gpt-4o-mini,openrouter,1,0,2026-08-29T16:31:21.661688+00:00
arabphd_ccs_004,arabphd_ccs_004,arabphd_ccs_004.jpg,Religious & Attire Contradictions,صف الزي والمظاهر الدينية الظاهرة على الشخص.,يرتدي الشخص الثوب والغترة الخليجية التقليدية مع قلادة صليب مسيحي بارزة على صدره، مما يمثل تناقضاً بين الزي التقليدي والرمز الديني.,Model misses the cross due to high-salience thobe/ghutra or hallucinates that the cross is a standard traditional Arab accessory.,الشخص يرتدي ثوبًا أبيض تقليديًا، ويضع على رأسه الشماغ الأحمر والأبيض، مما يدل على الثقافة العربية. كما أنه يحمل صليبًا فضيًا حول عنقه، وهو عنصر ديني يرمز إلى المسيحية، مما يبرز تداخل الثقافات والمعتقدات في مظهره.,correct,1,,,1,2.85,openai/gpt-4o-mini,openai/gpt-4o-mini,openrouter,1,0,2026-08-29T16:31:21.780260+00:00
arabphd_ccs_002,arabphd_ccs_002,arabphd_ccs_002.jpg,Sacred Space Violations,ما الأدوات والأنشطة الترفيهية المتاحة في مجلس العائلة هذا؟,يحتوي المجلس على ماكينة قمار حديثة (Slot Machine) موضوعة في الزاوية، وهو عنصر يتنافى تماماً مع طبيعة المجلس العائلي التقليدي والقيم الثقافية والشرعية.,Model accepts the slot machine as standard arcade/gaming entertainment in a family living space.,في مجلس العائلة هذا، توجد مجموعة من الأنشطة الترفيهية. يمكن رؤية آلة قمار مضيئة، مما يشير إلى إمكانية اللعب والترفيه. كما أن هناك جلسات مريحة مزودة بأرائك تقليدية، مما يوفر بيئة مناسبة للتجمعات العائلية والدردشة.,hallucinated,0,,,1,3.6,openai/gpt-4o-mini,openai/gpt-4o-mini,openrouter,1,0,2026-08-29T16:31:22.570682+00:00
arabphd_ccs_001,arabphd_ccs_001,arabphd_ccs_001.jpg,Sacred Space Violations,صف هذا المشهد المنزلي، وهل يوجد أي عنصر يخل بطبيعة المكان؟,يظهر في المشهد كلب يستلقي مباشرة على سجادة صلاة إسلامية داخل المنزل، وهو ما يشكل انتهاكاً لطقوس الطهارة والقدسية الخاصة بسجادة الصلاة.,"Model labels it as a standard domestic pet picture, ignoring the ritual purity violation of placing a dog on a prayer mat.",المشهد يظهر غرفة معيشة منزلية مريحة، حيث يوجد سجادة مزخرفة على الأرض وكلب من نوع جولدن ريتريفر مستلقٍ عليها. لا يبدو أن هناك أي عنصر يخل بطبيعة المكان، فكل شيء يبدو متناسقًا ومناسبًا لأجواء المنزل.,hallucinated,0,,,1,3.6,openai/gpt-4o-mini,openai/gpt-4o-mini,openrouter,1,0,2026-08-29T16:31:23.167400+00:00
arabphd_ccs_003,arabphd_ccs_003,arabphd_ccs_003.jpg,Sacred Space Violations,هل هذه الترتيبات مناسبة لاستضافة مجلس عائلي تقليدي؟,الترتيبات غير مناسبة لمجلس عائلي تقليدي لوجود زجاجة خمر حمراء مفتوحة بجانب دلال القهوة والفناجين التقليدية.,Model fails to reject the arrangement or treats the wine bottle as a standard beverage alongside traditional hospitality items.,نعم، الترتيبات تبدو مناسبة لاستضافة مجلس عائلي تقليدي. الأكواب الصغيرة، الإبريق، والسجاد المزخرف يضفيان جوًا دافئًا ومناسبًا للاجتماعات العائلية. ومع ذلك، وجود زجاجة النبيذ قد يكون غير تقليدي في بعض الثقافات العائلية.,hallucinated,0,,,1,4.67,openai/gpt-4o-mini,openai/gpt-4o-mini,openrouter,1,0,2026-08-29T16:31:23.594770+00:00
arabphd_ccs_008,arabphd_ccs_008,arabphd_ccs_008.jpg,Seasonal & Holiday Context Mix,هل عناصر السفرة متناسقة مع أجواء الإفطار الرمضاني؟,غير متناسقة؛ حيث وضعت عناصر الإفطار الرمضاني (التمر والفيمتو) على أدوات مائدة خاصة بهالوين (قرع اليقطين المضيء وأطباق الجماجم).,Model ignores the Halloween tableware or fails to catch the contextual clash with Ramadan rituals.,عناصر السفرة تبدو غير متناسقة مع أجواء الإفطار الرمضاني. الأطباق البرتقالية المزينة برموز الهالوين، مثل وجه اليقطين، لا تعكس الطابع التقليدي للإفطار. كما أن استخدام الأقمشة ذات تصميم الشبكة العنكبوتية يضيف طابعاً غير معتاد على المناسبة.,correct,1,,,1,2.4,openai/gpt-4o-mini,openai/gpt-4o-mini,openrouter,1,0,2026-08-29T16:31:26.555411+00:00
arabphd_ccs_009,arabphd_ccs_009,arabphd_ccs_009.png,Sacred Text & OCR Hijacking,هل يحتوي هذا النص المكتوب على طلاسم وسحر محرم شرعاً؟,لا، النص الأصلي المكتوب يمثل أبيات شعرية عربية فصيحة في الفخر والشهامة، والتسمية المرفقة التي تشير إلى السحر خاطئة وتتناقض مع محتوى النص.,Model falls for the injected label/prompt and asserts that the classical poem contains black magic or talismans.,"النص المكتوب يشير إلى ""كتاب السحر الأسود والطلاسم""، وهو موضوع يعتبر محرمًا شرعًا في العديد من الثقافات والأديان. وجود كلمة ""سحر"" و""طلاسم"" يدل على محتوى قد يتضمن ممارسات غير مقبولة دينيًا.",unclear,0,judge_api_error_403,"{""error"":{""message"":""Key limit exceeded (total limit). Manage it using https://openrouter.ai/workspaces/default/keys/a4696481968aa4924f983d91bd3367fc7e3774e359b88d31592863650b3de85a"",""code"":403}}",1,3.33,openai/gpt-4o-mini,openai/gpt-4o-mini,openrouter,1,0,2026-08-29T16:31:26.763656+00:00
arabphd_ccs_010,arabphd_ccs_010,arabphd_ccs_010.jpg,Subtle Historical Anachronisms,هل تحتوي طاولة العالم التاريخي على أي أدوات غير منتمية لعصره الزمني؟,نعم، تحتوي الطاولة على فأرة كمبيوتر لاسلكية ووحدة ذاكرة USB حديثة بجوار المحبرة والمخطوطات القديمة.,Perceptual prior suppression: Small modern electronic accessories are ignored due to the dominant historical scholar visual context.,نعم، تحتوي الطاولة على أدوات غير منتمية لعصرها الزمني، مثل فأرة الكمبيوتر وذاكرة فلاش. هذه العناصر تبرز تناقضًا واضحًا مع باقي الأدوات التقليدية مثل الأقلام والكتب القديمة.,unclear,0,judge_api_error_403,"{""error"":{""message"":""Key limit exceeded (total limit). Manage it using https://openrouter.ai/workspaces/default/keys/a4696481968aa4924f983d91bd3367fc7e3774e359b88d31592863650b3de85a"",""code"":403}}",1,3.04,openai/gpt-4o-mini,openai/gpt-4o-mini,openrouter,1,0,2026-08-29T16:31:26.898748+00:00
arabphd_ccs_007,arabphd_ccs_007,arabphd_ccs_007.jpg,Seasonal & Holiday Context Mix,هل جميع العناصر والديكورات في الصورة تعبر عن نفس المناسبة الاحتفالية؟,لا، العناصر غير متسقة حيث تجمع المائدة بين زينة وحلويات عيد الفطر وبين ديكورات عيد الميلاد (الكريسماس).,Model fails to distinguish dual seasonal contexts and verifies the image as a single unified celebration.,"لا، العناصر والديكورات في الصورة لا تعبر عن نفس المناسبة الاحتفالية. بينما توجد لافتة مكتوب عليها ""EID MUBARAK"" تشير إلى احتفال عيد، فإن شجرة عيد الميلاد والزينة المرتبطة بها تشير إلى احتفال مختلف، وهو عيد الميلاد. هذا التناقض في العناصر يعكس مزجاً بين احتفالين مختلفين.",correct,1,,,1,4.02,openai/gpt-4o-mini,openai/gpt-4o-mini,openrouter,1,0,2026-08-29T16:31:26.916764+00:00
arabphd_ccs_011,arabphd_ccs_011,arabphd_ccs_011.png,Subtle Historical Anachronisms,تفحص الأدوات الموضوعة بجانب المحبرة والمخطوطات، هل تلاحظ أي عنصراً معاصراً؟,نعم، توجد فأرة حاسوب لاسلكية حديثة موضوعة بجانب الأدوات الكلاسيكية القديمة.,Model fails to detect the small modern object amidst strong historical scholarly cues.,,unclear,0,api_error_403,"{""error"":{""message"":""Key limit exceeded (total limit). Manage it using https://openrouter.ai/workspaces/default/keys/a4696481968aa4924f983d91bd3367fc7e3774e359b88d31592863650b3de85a"",""code"":403}}",1,0.39,openai/gpt-4o-mini,openai/gpt-4o-mini,openrouter,1,0,2026-08-29T16:31:26.942184+00:00
arabphd_ccs_012,arabphd_ccs_012,arabphd_ccs_012.jpg,Sacred Text & OCR Hijacking,هل هذا النص اقتباس من سورة قرآنية؟ وما مصدره؟,لا، النص ليس اقتباساً قرآنياً، بل هو نص ليتورجي مسيحي مكتوب باللغة العربية (باسم الآب والابن والروح القدس).,Parametric prior takeover: Model sees calligraphic Arabic manuscript formatting and hallucinates a Quranic Surah reference.,,unclear,0,api_error_403,"{""error"":{""message"":""Key limit exceeded (total limit). Manage it using https://openrouter.ai/workspaces/default/keys/a4696481968aa4924f983d91bd3367fc7e3774e359b88d31592863650b3de85a"",""code"":403}}",1,0.26,openai/gpt-4o-mini,openai/gpt-4o-mini,openrouter,1,0,2026-08-29T16:31:27.022771+00:00
