task_id,image_id,filename,category,polarity,hitem_level,gt_ar,h_item_ar,question_text,ground_truth,raw_response,parsed_answer,is_correct,error_type,detail,attempts,latency_s,model_name,provider,reasoning_disabled,prompt_version,temperature,timestamp
image_102A;image_102B__yes,image_102A;image_102B,food_001(1).png,cuisine,yes,identity,صينية بطاطا,شية,هل هذا الطبق صينية بطاطا؟,نعم,لا,no,0,,,1,3.98,qwen/qwen2.5-vl-72b-instruct,openrouter,1,1,0,2026-08-27T11:47:33.632244+00:00
image_102A;image_102B__no,image_102A;image_102B,food_001(1).png,cuisine,no,identity,صينية بطاطا,شية,هل هذا الطبق شية؟,لا,لا,no,1,,,1,6.03,qwen/qwen2.5-vl-72b-instruct,openrouter,1,1,0,2026-08-27T11:47:39.667158+00:00
image_103A;image_103B__yes,image_103A;image_103B,food_001.png,cuisine,yes,identity,سمبوسة,كبة,هل هذا الطبق سمبوسة؟,نعم,نعم,yes,1,,,1,4.33,qwen/qwen2.5-vl-72b-instruct,openrouter,1,1,0,2026-08-27T11:47:43.997410+00:00
image_103A;image_103B__no,image_103A;image_103B,food_001.png,cuisine,no,identity,سمبوسة,كبة,هل هذا الطبق كبة؟,لا,لا,no,1,,,1,3.37,qwen/qwen2.5-vl-72b-instruct,openrouter,1,1,0,2026-08-27T11:47:47.371108+00:00
image_104A;image_104B__yes,image_104A;image_104B,food_002(1).png,cuisine,yes,identity,كشري,مجدرة,هل هذا الطبق كشري؟,نعم,لا,no,0,,,1,1.74,qwen/qwen2.5-vl-72b-instruct,openrouter,1,1,0,2026-08-27T11:47:49.107828+00:00
image_104A;image_104B__no,image_104A;image_104B,food_002(1).png,cuisine,no,identity,كشري,مجدرة,هل هذا الطبق مجدرة؟,لا,لا,no,1,,,1,1.31,qwen/qwen2.5-vl-72b-instruct,openrouter,1,1,0,2026-08-27T11:47:50.421416+00:00
image_106A;image_106B__yes,image_106A;image_106B,food_003.jpg,cuisine,yes,identity,تبولة,فتوش,هل هذا الطبق تبولة؟,نعم,نعم,yes,1,,,1,10.55,qwen/qwen2.5-vl-72b-instruct,openrouter,1,1,0,2026-08-27T11:48:00.969887+00:00
image_106A;image_106B__no,image_106A;image_106B,food_003.jpg,cuisine,no,identity,تبولة,فتوش,هل هذا الطبق فتوش؟,لا,لا,no,1,,,1,13.99,qwen/qwen2.5-vl-72b-instruct,openrouter,1,1,0,2026-08-27T11:48:14.963598+00:00
image_107A;image_107B__yes,image_107A;image_107B,food_003.png,cuisine,yes,identity,بازين,هريس,هل هذا الطبق بازين؟,نعم,لا,no,0,,,1,10.4,qwen/qwen2.5-vl-72b-instruct,openrouter,1,1,0,2026-08-27T11:48:25.366418+00:00
image_107A;image_107B__no,image_107A;image_107B,food_003.png,cuisine,no,identity,بازين,هريس,هل هذا الطبق هريس؟,لا,لا,no,1,,,1,7.91,qwen/qwen2.5-vl-72b-instruct,openrouter,1,1,0,2026-08-27T11:48:33.277704+00:00
