task_id,image_id,condition,structure_id,is_control,question_text,options_shown,correct_letter,raw_response,parsed_letter,is_correct,error_type,detail,attempts,latency_s,model_name,provider,reasoning_disabled,prompt_version,temperature,timestamp
architecture_al_faisaliah_tower_f10__mcdr__control,architecture_al_faisaliah_tower_f10,mcdr,mcdr-1,1,كيف يُعرف المبنى الظاهر في الصورة؟,A=برج المملكة | B=مركز الملك عبدالله المالي (كافد) | C=برج الفيصلية | D=لا توجد إجابة صحيحة,C,C,C,1,,,1,1.85,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:12.663789+00:00
architecture_al_faisaliah_tower_f10__udr__core,architecture_al_faisaliah_tower_f10,udr,udr-1,0,كيف يُعرف المبنى الظاهر في الصورة؟,A=برج المملكة | B=مركز الملك عبدالله المالي (كافد) | C=برج خليفة بدبي,,A,A,0,,,1,2.24,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:13.054185+00:00
architecture_ithra_screenshot_2023_10_31_111338__udr__core,architecture_ithra_screenshot_2023_10_31_111338,udr,udr-1,0,عرّف المبنى الظاهر في الصورة.,A=متحف اللوفر أبوظبي | B=متحف المستقبل بدبي | C=دار الأوبرا السلطانية بمسقط,,B,B,0,,,1,2.69,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:13.518285+00:00
architecture_diriyah_d12__mcdr__core,architecture_diriyah_d12,mcdr,mcdr-1,0,عرّف المبنى الظاهر في الصورة.,A=قصر المربع التاريخي | B=قصر المصمك | C=قصر إبراهيم بالهفوف | D=لا توجد إجابة صحيحة,D,B,B,0,,,1,3.02,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:13.827328+00:00
architecture_ibrahim_palace_screenshot_2023_11_16_093330__mcdr__core,architecture_ibrahim_palace_screenshot_2023_11_16_093330,mcdr,mcdr-1,0,عرّف المبنى الظاهر في الصورة.,A=قلعة زعبل بسكاكا (الجوف) | B=قصر المصمك | C=قصر الحكم بالرياض | D=لا توجد إجابة صحيحة,D,B,B,0,,,1,3.27,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:14.085144+00:00
architecture_kingdom_tower_mam_13__udr__core,architecture_kingdom_tower_mam_13,udr,udr-1,0,اذكر اسم المبنى الظاهر في الصورة.,A=برج الفيصلية | B=مركز الملك عبدالله المالي (كافد) | C=برج خليفة بدبي,,A,A,0,,,1,1.43,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:14.096355+00:00
architecture_kingdom_tower_mam_13__oedr__core,architecture_kingdom_tower_mam_13,oedr,oedr-1,0,اذكر اسم المبنى الظاهر في الصورة.,,,"المبنى الظاهر في الصورة هو ""برج المملكة"".",,1,,,1,3.28,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:14.115854+00:00
architecture_hegra_hegra_12__mcdr__core,architecture_hegra_hegra_12,mcdr,mcdr-1,0,ما اسم المبنى الظاهر في الصورة؟,A=البتراء | B=قصر البنت بالعلا | C=آثار جرش بالأردن | D=لا توجد إجابة صحيحة,D,B,B,0,,,1,3.35,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:14.163974+00:00
architecture_al_faisaliah_tower_f10__oedr__core,architecture_al_faisaliah_tower_f10,oedr,oedr-1,0,كيف يُعرف المبنى الظاهر في الصورة؟,,,المبنى الظاهر في الصورة هو برج المملكة.,,0,,,1,3.36,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:14.173769+00:00
architecture_hegra_hegra_12__oedr__core,architecture_hegra_hegra_12,oedr,oedr-1,0,ما اسم المبنى الظاهر في الصورة؟,,,لا يوجد خيار صحيح.,,1,,,1,3.39,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:14.199131+00:00
architecture_al_faisaliah_tower_f10__mcdr__core,architecture_al_faisaliah_tower_f10,mcdr,mcdr-1,0,كيف يُعرف المبنى الظاهر في الصورة؟,A=برج المملكة | B=مركز الملك عبدالله المالي (كافد) | C=برج خليفة بدبي | D=لا توجد إجابة صحيحة,D,A,A,0,,,1,3.63,openai/gpt-4o-mini,openrouter,1,1,0,2026-08-28T13:28:14.442183+00:00
