task_id,image_id,filename,category,polarity,gt_ar,h_item_ar,context_ar,question_text,ground_truth,raw_response,parsed_answer,is_correct,error_type,detail,attempts,latency_s,model_name,provider,reasoning_disabled,prompt_version,temperature,timestamp
attire_85605_burnus__yes,attire_85605_burnus,85605_Burnus.jpg,attire,yes,برنوس,جلابة مغربية صوفية,صورة لجلابة مغربية صوفية تقليدية بلون بيج فاتح، فضفاضة تصل حتى القدمين، مزودة بق,هل هذه القطعة برنوس؟,نعم,لا,no,0,,,1,1.36,qwen/qwen2.5-vl-72b-instruct,openrouter,1,1,0,2026-08-28T09:00:20.001123+00:00
attire_85605_burnus__no,attire_85605_burnus,85605_Burnus.jpg,attire,no,برنوس,جلابة مغربية صوفية,صورة لجلابة مغربية صوفية تقليدية بلون بيج فاتح، فضفاضة تصل حتى القدمين، مزودة بق,هل هذه القطعة جلابة مغربية صوفية؟,لا,نعم,yes,0,,,1,1.55,qwen/qwen2.5-vl-72b-instruct,openrouter,1,1,0,2026-08-28T09:00:20.200702+00:00
attire_86267_abaya_cloak__no,attire_86267_abaya_cloak,86267_Abaya_Cloak.jpg,attire,no,عباءة,روب إيكات أوزبكي,صورة لروب إيكات أوزبكي تقليدي (تشابان) بلون أزرق داكن، مزين بنقوش متداخلة متدرجة,هل هذه القطعة روب إيكات أوزبكي؟,لا,نعم,yes,0,,,1,1.52,qwen/qwen2.5-vl-72b-instruct,openrouter,1,1,0,2026-08-28T09:00:20.218053+00:00
attire_86249_festive_dress_from_qalamun__yes,attire_86249_festive_dress_from_qalamun,86249_Festive_Dress_from_Qalamun.jpg,attire,yes,ثوب احتفالي من القلمون (سوريا),ثوب حوراني مطرز,صورة لثوب حوراني طويل بلون بيج فاتح، بلوحة تطريز مثلثة الشكل عند الصدر مزينة بزخ,هل هذه القطعة ثوب احتفالي من القلمون (سوريا)؟,نعم,لا,no,0,,,1,1.57,qwen/qwen2.5-vl-72b-instruct,openrouter,1,1,0,2026-08-28T09:00:20.237843+00:00
attire_86249_festive_dress_from_qalamun__no,attire_86249_festive_dress_from_qalamun,86249_Festive_Dress_from_Qalamun.jpg,attire,no,ثوب احتفالي من القلمون (سوريا),ثوب حوراني مطرز,صورة لثوب حوراني طويل بلون بيج فاتح، بلوحة تطريز مثلثة الشكل عند الصدر مزينة بزخ,هل هذه القطعة ثوب حوراني مطرز؟,لا,نعم,yes,0,,,1,1.75,qwen/qwen2.5-vl-72b-instruct,openrouter,1,1,0,2026-08-28T09:00:20.432090+00:00
attire_86267_abaya_cloak__yes,attire_86267_abaya_cloak,86267_Abaya_Cloak.jpg,attire,yes,عباءة,روب إيكات أوزبكي,صورة لروب إيكات أوزبكي تقليدي (تشابان) بلون أزرق داكن، مزين بنقوش متداخلة متدرجة,هل هذه القطعة عباءة؟,نعم,لا,no,0,,,1,1.74,qwen/qwen2.5-vl-72b-instruct,openrouter,1,1,0,2026-08-28T09:00:20.433297+00:00
attire_119451_kaftan__yes,attire_119451_kaftan,119451_Kaftan.jpg,attire,yes,كافتان حريري,جبة دمشقية حريرية,صورة لجبة دمشقية حريرية طويلة حتى القدمين، من قماش حريري لامع بخطوط عمودية رفيعة,هل هذه القطعة كافتان حريري؟,نعم,نعم,yes,1,,,1,1.8,qwen/qwen2.5-vl-72b-instruct,openrouter,1,1,0,2026-08-28T09:00:20.437838+00:00
attire_119451_kaftan__no,attire_119451_kaftan,119451_Kaftan.jpg,attire,no,كافتان حريري,جبة دمشقية حريرية,صورة لجبة دمشقية حريرية طويلة حتى القدمين، من قماش حريري لامع بخطوط عمودية رفيعة,هل هذه القطعة جبة دمشقية حريرية؟,لا,نعم,yes,0,,,1,1.86,qwen/qwen2.5-vl-72b-instruct,openrouter,1,1,0,2026-08-28T09:00:20.502655+00:00
architecture_al_rahmah_mosque_m11__yes,architecture_al_rahmah_mosque_m11,Al_Rahmah_Mosque_m11.png,architecture,yes,مسجد الرحمة (المسجد العائم),مسجد تانجونج بونجاه العائم، بينانج، ماليزيا,صورة قريبة لممر مسجد تانجونج بونجاه العائم في بينانج المقنطر الأبيض الممتد فوق ا,هل هذا المبنى مسجد الرحمة (المسجد العائم)؟,نعم,لا,no,0,,,1,2.92,qwen/qwen2.5-vl-72b-instruct,openrouter,1,1,0,2026-08-28T09:00:21.560668+00:00
architecture_jabal_alfil_elephant_rock_elephant_11__no,architecture_jabal_alfil_elephant_rock_elephant_11,Jabal_AlFil_Elephant_Rock_elephant (11).png,architecture,no,جبل الفيل بالعلا,جبل القارة بالأحساء,صورة لجبل القارة بالأحساء عند الغروب مع أشعة شمس منتشرة من خلال فتحته المقوسة، و,هل هذا المبنى جبل القارة بالأحساء؟,لا,نعم,yes,0,,,1,3.25,qwen/qwen2.5-vl-72b-instruct,openrouter,1,1,0,2026-08-28T09:00:21.893831+00:00
