task_id,image_id,condition,structure_id,is_control,question_text,options_shown,correct_letter,raw_response,parsed_letter,is_correct,error_type,detail,attempts,latency_s,model_name,provider,reasoning_disabled,prompt_version,temperature,timestamp
architecture_king_abdullah_financial_district_kafd_k1__mcdr__core,architecture_king_abdullah_financial_district_kafd_k1,mcdr,mcdr-1,0,اذكر اسم المبنى الظاهر في الصورة.,A=مركز دبي المالي العالمي (DIFC) | B=برج المملكة | C=وسط مدينة دبي (داون تاون) | D=لا توجد إجابة صحيحة,D,D,D,1,,,1,1.96,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-28T08:59:50.206399+00:00
architecture_al_faisaliah_tower_f10__mcdr__control,architecture_al_faisaliah_tower_f10,mcdr,mcdr-1,1,كيف يُعرف المبنى الظاهر في الصورة؟,A=برج المملكة | B=مركز الملك عبدالله المالي (كافد) | C=برج الفيصلية | D=لا توجد إجابة صحيحة,C,C,C,1,,,1,2.02,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-28T08:59:50.222397+00:00
architecture_king_abdullah_financial_district_kafd_k1__oedr__core,architecture_king_abdullah_financial_district_kafd_k1,oedr,oedr-1,0,اذكر اسم المبنى الظاهر في الصورة.,,,مركز الملك عبد الله المالي,,1,,,1,2.04,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-28T08:59:50.287197+00:00
architecture_king_abdullah_financial_district_kafd_k1__mcdr__control,architecture_king_abdullah_financial_district_kafd_k1,mcdr,mcdr-1,1,اذكر اسم المبنى الظاهر في الصورة.,A=مركز دبي المالي العالمي (DIFC) | B=برج المملكة | C=مركز الملك عبدالله المالي (كافد) | D=لا توجد إجابة صحيحة,C,C,C,1,,,1,2.06,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-28T08:59:50.310059+00:00
architecture_ithra_screenshot_2023_10_31_111338__mcdr__control,architecture_ithra_screenshot_2023_10_31_111338,mcdr,mcdr-1,1,عرّف المبنى الظاهر في الصورة.,A=متحف اللوفر أبوظبي | B=متحف المستقبل بدبي | C=مركز الملك عبدالعزيز الثقافي العالمي (إثراء) | D=لا توجد إجابة صحيحة,C,C,C,1,,,1,2.14,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-28T08:59:50.388888+00:00
architecture_al_faisaliah_tower_f10__oedr__core,architecture_al_faisaliah_tower_f10,oedr,oedr-1,0,كيف يُعرف المبنى الظاهر في الصورة؟,,,برج الفيصلية,,1,,,1,2.19,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-28T08:59:50.400554+00:00
architecture_al_faisaliah_tower_f10__mcdr__core,architecture_al_faisaliah_tower_f10,mcdr,mcdr-1,0,كيف يُعرف المبنى الظاهر في الصورة؟,A=برج المملكة | B=مركز الملك عبدالله المالي (كافد) | C=برج خليفة بدبي | D=لا توجد إجابة صحيحة,D,A,A,0,,,1,2.24,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-28T08:59:50.447316+00:00
architecture_king_abdullah_financial_district_kafd_k1__udr__core,architecture_king_abdullah_financial_district_kafd_k1,udr,udr-1,0,اذكر اسم المبنى الظاهر في الصورة.,A=مركز دبي المالي العالمي (DIFC) | B=برج المملكة | C=وسط مدينة دبي (داون تاون),,B,B,0,,,1,2.23,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-28T08:59:50.475823+00:00
architecture_ithra_screenshot_2023_10_31_111338__mcdr__core,architecture_ithra_screenshot_2023_10_31_111338,mcdr,mcdr-1,0,عرّف المبنى الظاهر في الصورة.,A=متحف اللوفر أبوظبي | B=متحف المستقبل بدبي | C=دار الأوبرا السلطانية بمسقط | D=لا توجد إجابة صحيحة,D,D,D,1,,,1,2.55,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-28T08:59:50.796462+00:00
architecture_diriyah_d12__oedr__core,architecture_diriyah_d12,oedr,oedr-1,0,عرّف المبنى الظاهر في الصورة.,,,مبنى طيني قديم.,,1,,,1,2.6,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-28T08:59:50.815806+00:00
architecture_ibrahim_palace_screenshot_2023_11_16_093330__mcdr__core,architecture_ibrahim_palace_screenshot_2023_11_16_093330,mcdr,mcdr-1,0,عرّف المبنى الظاهر في الصورة.,A=قلعة زعبل بسكاكا (الجوف) | B=قصر المصمك | C=قصر الحكم بالرياض | D=لا توجد إجابة صحيحة,D,A,A,0,,,1,2.63,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-28T08:59:50.862815+00:00
architecture_diriyah_d12__udr__core,architecture_diriyah_d12,udr,udr-1,0,عرّف المبنى الظاهر في الصورة.,A=قصر المربع التاريخي | B=قصر المصمك | C=قصر إبراهيم بالهفوف,,A,A,0,,,1,2.69,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-28T08:59:50.900834+00:00
architecture_ithra_screenshot_2023_10_31_111338__udr__core,architecture_ithra_screenshot_2023_10_31_111338,udr,udr-1,0,عرّف المبنى الظاهر في الصورة.,A=متحف اللوفر أبوظبي | B=متحف المستقبل بدبي | C=دار الأوبرا السلطانية بمسقط,,A,A,0,,,1,2.69,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-28T08:59:50.933513+00:00
architecture_diriyah_d12__mcdr__core,architecture_diriyah_d12,mcdr,mcdr-1,0,عرّف المبنى الظاهر في الصورة.,A=قصر المربع التاريخي | B=قصر المصمك | C=قصر إبراهيم بالهفوف | D=لا توجد إجابة صحيحة,D,A,A,0,,,1,2.72,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-28T08:59:50.933804+00:00
architecture_ibrahim_palace_screenshot_2023_11_16_093330__mcdr__control,architecture_ibrahim_palace_screenshot_2023_11_16_093330,mcdr,mcdr-1,1,عرّف المبنى الظاهر في الصورة.,A=قلعة زعبل بسكاكا (الجوف) | B=قصر المصمك | C=قصر إبراهيم بالهفوف | D=لا توجد إجابة صحيحة,C,A,A,0,,,1,2.72,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-28T08:59:50.953200+00:00
architecture_hegra_hegra_12__udr__core,architecture_hegra_hegra_12,udr,udr-1,0,ما اسم المبنى الظاهر في الصورة؟,A=البتراء | B=قصر البنت بالعلا | C=آثار جرش بالأردن,,B,B,0,,,1,2.72,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-28T08:59:50.954113+00:00
architecture_diriyah_d12__mcdr__control,architecture_diriyah_d12,mcdr,mcdr-1,1,عرّف المبنى الظاهر في الصورة.,A=قصر المربع التاريخي | B=قصر المصمك | C=حي الطريف بالدرعية | D=لا توجد إجابة صحيحة,C,C,C,1,,,1,2.82,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-28T08:59:51.047513+00:00
architecture_hegra_hegra_12__mcdr__core,architecture_hegra_hegra_12,mcdr,mcdr-1,0,ما اسم المبنى الظاهر في الصورة؟,A=البتراء | B=قصر البنت بالعلا | C=آثار جرش بالأردن | D=لا توجد إجابة صحيحة,D,B,B,0,,,1,2.86,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-28T08:59:51.088527+00:00
architecture_ithra_screenshot_2023_10_31_111338__oedr__core,architecture_ithra_screenshot_2023_10_31_111338,oedr,oedr-1,0,عرّف المبنى الظاهر في الصورة.,,,مركز الملك عبد العزيز الثقافي العالمي (إثراء),,1,,,1,2.88,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-28T08:59:51.129510+00:00
architecture_ibrahim_palace_screenshot_2023_11_16_093330__oedr__core,architecture_ibrahim_palace_screenshot_2023_11_16_093330,oedr,oedr-1,0,عرّف المبنى الظاهر في الصورة.,,,حصن/قلعة,,1,,,1,2.9,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-28T08:59:51.129724+00:00
architecture_hegra_hegra_12__oedr__core,architecture_hegra_hegra_12,oedr,oedr-1,0,ما اسم المبنى الظاهر في الصورة؟,,,قصر الفريد,,1,,,1,2.95,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-28T08:59:51.184622+00:00
architecture_kingdom_tower_mam_13__oedr__core,architecture_kingdom_tower_mam_13,oedr,oedr-1,0,اذكر اسم المبنى الظاهر في الصورة.,,,برج المملكة,,1,,,1,2.96,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-28T08:59:51.205672+00:00
architecture_ibrahim_palace_screenshot_2023_11_16_093330__udr__core,architecture_ibrahim_palace_screenshot_2023_11_16_093330,udr,udr-1,0,عرّف المبنى الظاهر في الصورة.,A=قلعة زعبل بسكاكا (الجوف) | B=قصر المصمك | C=قصر الحكم بالرياض,,A,A,0,,,1,3.0,google/gemini-2.5-flash,openrouter,1,1,0,2026-08-28T08:59:51.230007+00:00
