task_id,image_id,condition,structure_id,is_control,question_text,options_shown,correct_letter,raw_response,parsed_letter,is_correct,error_type,detail,attempts,latency_s,model_name,provider,reasoning_disabled,prompt_version,temperature,timestamp
architecture_al_faisaliah_tower_f10__mcdr__core,architecture_al_faisaliah_tower_f10,mcdr,mcdr-1,0,كيف يُعرف المبنى الظاهر في الصورة؟,A=برج المملكة | B=مركز الملك عبدالله المالي (كافد) | C=برج خليفة بدبي | D=لا توجد إجابة صحيحة,D,A,A,0,,,1,2.45,qwen/qwen2.5-vl-72b-instruct,openrouter,1,1,0,2026-08-28T13:27:27.999639+00:00
architecture_ithra_screenshot_2023_10_31_111338__mcdr__core,architecture_ithra_screenshot_2023_10_31_111338,mcdr,mcdr-1,0,عرّف المبنى الظاهر في الصورة.,A=متحف اللوفر أبوظبي | B=متحف المستقبل بدبي | C=دار الأوبرا السلطانية بمسقط | D=لا توجد إجابة صحيحة,D,B,B,0,,,1,4.11,qwen/qwen2.5-vl-72b-instruct,openrouter,1,1,0,2026-08-28T13:27:29.680659+00:00
architecture_king_abdullah_financial_district_kafd_k1__mcdr__core,architecture_king_abdullah_financial_district_kafd_k1,mcdr,mcdr-1,0,اذكر اسم المبنى الظاهر في الصورة.,A=مركز دبي المالي العالمي (DIFC) | B=برج المملكة | C=وسط مدينة دبي (داون تاون) | D=لا توجد إجابة صحيحة,D,A,A,0,,,1,4.15,qwen/qwen2.5-vl-72b-instruct,openrouter,1,1,0,2026-08-28T13:27:29.750993+00:00
architecture_king_abdullah_financial_district_kafd_k1__udr__core,architecture_king_abdullah_financial_district_kafd_k1,udr,udr-1,0,اذكر اسم المبنى الظاهر في الصورة.,A=مركز دبي المالي العالمي (DIFC) | B=برج المملكة | C=وسط مدينة دبي (داون تاون),,A,A,0,,,1,4.15,qwen/qwen2.5-vl-72b-instruct,openrouter,1,1,0,2026-08-28T13:27:29.753417+00:00
architecture_king_abdullah_financial_district_kafd_k1__mcdr__control,architecture_king_abdullah_financial_district_kafd_k1,mcdr,mcdr-1,1,اذكر اسم المبنى الظاهر في الصورة.,A=مركز دبي المالي العالمي (DIFC) | B=برج المملكة | C=مركز الملك عبدالله المالي (كافد) | D=لا توجد إجابة صحيحة,C,C,C,1,,,1,4.16,qwen/qwen2.5-vl-72b-instruct,openrouter,1,1,0,2026-08-28T13:27:29.755584+00:00
architecture_al_faisaliah_tower_f10__mcdr__control,architecture_al_faisaliah_tower_f10,mcdr,mcdr-1,1,كيف يُعرف المبنى الظاهر في الصورة؟,A=برج المملكة | B=مركز الملك عبدالله المالي (كافد) | C=برج الفيصلية | D=لا توجد إجابة صحيحة,C,A,A,0,,,1,4.21,qwen/qwen2.5-vl-72b-instruct,openrouter,1,1,0,2026-08-28T13:27:29.755787+00:00
architecture_ibrahim_palace_screenshot_2023_11_16_093330__mcdr__core,architecture_ibrahim_palace_screenshot_2023_11_16_093330,mcdr,mcdr-1,0,عرّف المبنى الظاهر في الصورة.,A=قلعة زعبل بسكاكا (الجوف) | B=قصر المصمك | C=قصر الحكم بالرياض | D=لا توجد إجابة صحيحة,D,A,A,0,,,1,4.47,qwen/qwen2.5-vl-72b-instruct,openrouter,1,1,0,2026-08-28T13:27:30.038057+00:00
architecture_ithra_screenshot_2023_10_31_111338__mcdr__control,architecture_ithra_screenshot_2023_10_31_111338,mcdr,mcdr-1,1,عرّف المبنى الظاهر في الصورة.,A=متحف اللوفر أبوظبي | B=متحف المستقبل بدبي | C=مركز الملك عبدالعزيز الثقافي العالمي (إثراء) | D=لا توجد إجابة صحيحة,C,C,C,1,,,1,4.44,qwen/qwen2.5-vl-72b-instruct,openrouter,1,1,0,2026-08-28T13:27:30.038490+00:00
architecture_diriyah_d12__udr__core,architecture_diriyah_d12,udr,udr-1,0,عرّف المبنى الظاهر في الصورة.,A=قصر المربع التاريخي | B=قصر المصمك | C=قصر إبراهيم بالهفوف,,B,B,0,,,1,4.49,qwen/qwen2.5-vl-72b-instruct,openrouter,1,1,0,2026-08-28T13:27:30.039248+00:00
architecture_hegra_hegra_12__udr__core,architecture_hegra_hegra_12,udr,udr-1,0,ما اسم المبنى الظاهر في الصورة؟,A=البتراء | B=قصر البنت بالعلا | C=آثار جرش بالأردن,,B,B,0,,,1,4.49,qwen/qwen2.5-vl-72b-instruct,openrouter,1,1,0,2026-08-28T13:27:30.047879+00:00
